bucket,value
2026-01-01T00,1250.572
2026-01-01T01,1497.436
2026-01-01T02,1418.132
2026-01-01T03,1387.518
2026-01-01T04,1355.477
2026-01-01T05,1317.898
2026-01-01T06,1269.093
2026-01-01T07,1145.901
2026-01-01T08,1117.425
2026-01-01T09,1285.375
2026-01-01T10,1726.075
2026-01-01T11,1377.108
2026-01-01T12,1144.964
2026-01-01T13,956.641
2026-01-01T14,888.915
2026-01-01T15,850.733
2026-01-01T16,896.113
2026-01-01T17,889.934
2026-01-01T18,726.738
2026-01-01T19,662.86
2026-01-01T20,694.718
2026-01-01T21,698.121
2026-01-01T22,821.324
2026-01-01T23,1366.009
2026-01-02T00,694.692
2026-01-02T01,831.825
2026-01-02T02,787.772
2026-01-02T03,770.766
2026-01-02T04,752.967
2026-01-02T05,732.092
2026-01-02T06,704.981
2026-01-02T07,636.548
2026-01-02T08,620.729
2026-01-02T09,714.025
2026-01-02T10,958.834
2026-01-02T11,764.983
2026-01-02T12,636.027
2026-01-02T13,531.413
2026-01-02T14,493.792
2026-01-02T15,472.582
2026-01-02T16,497.791
2026-01-02T17,494.358
2026-01-02T18,403.702
2026-01-02T19,368.218
2026-01-02T20,385.915
2026-01-02T21,387.806
2026-01-02T22,456.245
2026-01-02T23,758.817
2026-01-03T00,1146.161
2026-01-03T01,1372.414
2026-01-03T02,1299.731
2026-01-03T03,1271.673
2026-01-03T04,1242.307
2026-01-03T05,1207.866
2026-01-03T06,1163.135
2026-01-03T07,1050.229
2026-01-03T08,1024.13
2026-01-03T09,1178.058
2026-01-03T10,1581.964
2026-01-03T11,1262.133
2026-01-03T12,1049.37
2026-01-03T13,876.77
2026-01-03T14,814.699
2026-01-03T15,779.704
2026-01-03T16,821.296
2026-01-03T17,815.633
2026-01-03T18,666.062
2026-01-03T19,607.517
2026-01-03T20,636.715
2026-01-03T21,639.835
2026-01-03T22,752.751
2026-01-03T23,1251.96
2026-01-04T00,716.14
2026-01-04T01,857.507
2026-01-04T02,812.094
2026-01-04T03,794.563
2026-01-04T04,776.214
2026-01-04T05,754.695
2026-01-04T06,726.746
2026-01-04T07,656.201
2026-01-04T08,639.894
2026-01-04T09,736.07
2026-01-04T10,988.437
2026-01-04T11,788.601
2026-01-04T12,655.664
2026-01-04T13,547.82
2026-01-04T14,509.037
2026-01-04T15,487.172
2026-01-04T16,513.159
2026-01-04T17,509.621
2026-01-04T18,416.166
2026-01-04T19,379.587
2026-01-04T20,397.83
2026-01-04T21,399.779
2026-01-04T22,470.332
2026-01-04T23,782.245
2026-01-05T00,1612.873
2026-01-05T01,1931.256
2026-01-05T02,1828.977
2026-01-05T03,1789.494
2026-01-05T04,1748.17
2026-01-05T05,1699.704
2026-01-05T06,1636.76
2026-01-05T07,1477.879
2026-01-05T08,1441.152
2026-01-05T09,1657.759
2026-01-05T10,2226.134
2026-01-05T11,1776.068
2026-01-05T12,1476.669
2026-01-05T13,1233.787
2026-01-05T14,1146.441
2026-01-05T15,1097.197
2026-01-05T16,1155.725
2026-01-05T17,1147.756
2026-01-05T18,937.28
2026-01-05T19,854.896
2026-01-05T20,895.983
2026-01-05T21,900.373
2026-01-05T22,1059.269
2026-01-05T23,1761.753
2026-01-06T00,1151.838
2026-01-06T01,1379.211
2026-01-06T02,1306.169
2026-01-06T03,1277.972
2026-01-06T04,1248.461
2026-01-06T05,1213.848
2026-01-06T06,1168.896
2026-01-06T07,1055.431
2026-01-06T08,1029.203
2026-01-06T09,1183.893
2026-01-06T10,1589.8
2026-01-06T11,1268.384
2026-01-06T12,1054.567
2026-01-06T13,881.113
2026-01-06T14,818.734
