bucket,value
2026-01-01T00,369.776
2026-01-01T01,442.77
2026-01-01T02,419.321
2026-01-01T03,410.269
2026-01-01T04,400.795
2026-01-01T05,389.683
2026-01-01T06,375.252
2026-01-01T07,338.826
2026-01-01T08,330.406
2026-01-01T09,380.067
2026-01-01T10,510.376
2026-01-01T11,407.191
2026-01-01T12,338.549
2026-01-01T13,282.865
2026-01-01T14,262.839
2026-01-01T15,251.549
2026-01-01T16,264.968
2026-01-01T17,263.141
2026-01-01T18,214.886
2026-01-01T19,195.998
2026-01-01T20,205.418
2026-01-01T21,206.424
2026-01-01T22,242.854
2026-01-01T23,403.909
2026-01-02T00,569.896
2026-01-02T01,682.394
2026-01-02T02,646.255
2026-01-02T03,632.304
2026-01-02T04,617.702
2026-01-02T05,600.577
2026-01-02T06,578.336
2026-01-02T07,522.197
2026-01-02T08,509.22
2026-01-02T09,585.756
2026-01-02T10,786.587
2026-01-02T11,627.56
2026-01-02T12,521.77
2026-01-02T13,435.949
2026-01-02T14,405.086
2026-01-02T15,387.686
2026-01-02T16,408.366
2026-01-02T17,405.551
2026-01-02T18,331.18
2026-01-02T19,302.071
2026-01-02T20,316.589
2026-01-02T21,318.14
2026-01-02T22,374.284
2026-01-02T23,622.502
2026-01-03T00,548.726
2026-01-03T01,657.045
2026-01-03T02,622.248
2026-01-03T03,608.815
2026-01-03T04,594.756
2026-01-03T05,578.267
2026-01-03T06,556.853
2026-01-03T07,502.799
2026-01-03T08,490.304
2026-01-03T09,563.997
2026-01-03T10,757.368
2026-01-03T11,604.248
2026-01-03T12,502.387
2026-01-03T13,419.755
2026-01-03T14,390.038
2026-01-03T15,373.285
2026-01-03T16,393.197
2026-01-03T17,390.485
2026-01-03T18,318.878
2026-01-03T19,290.85
2026-01-03T20,304.828
2026-01-03T21,306.322
2026-01-03T22,360.381
2026-01-03T23,599.378
2026-01-04T00,554.775
2026-01-04T01,664.288
2026-01-04T02,629.107
2026-01-04T03,615.526
2026-01-04T04,601.312
2026-01-04T05,584.642
2026-01-04T06,562.991
2026-01-04T07,508.341
2026-01-04T08,495.708
2026-01-04T09,570.214
2026-01-04T10,765.716
2026-01-04T11,610.908
2026-01-04T12,507.925
2026-01-04T13,424.382
2026-01-04T14,394.338
2026-01-04T15,377.399
2026-01-04T16,397.531
2026-01-04T17,394.79
2026-01-04T18,322.393
2026-01-04T19,294.056
2026-01-04T20,308.189
2026-01-04T21,309.698
2026-01-04T22,364.353
2026-01-04T23,605.984
2026-01-05T00,430.262
2026-01-05T01,515.196
2026-01-05T02,487.912
2026-01-05T03,477.379
2026-01-05T04,466.355
2026-01-05T05,453.426
2026-01-05T06,436.634
2026-01-05T07,394.25
2026-01-05T08,384.452
2026-01-05T09,442.236
2026-01-05T10,593.86
2026-01-05T11,473.797
2026-01-05T12,393.927
2026-01-05T13,329.134
2026-01-05T14,305.833
2026-01-05T15,292.696
2026-01-05T16,308.31
2026-01-05T17,306.184
2026-01-05T18,250.036
2026-01-05T19,228.058
2026-01-05T20,239.019
2026-01-05T21,240.19
2026-01-05T22,282.578
2026-01-05T23,469.978
2026-01-06T00,506.017
2026-01-06T01,605.905
2026-01-06T02,573.817
2026-01-06T03,561.429
2026-01-06T04,548.465
2026-01-06T05,533.259
2026-01-06T06,513.511
2026-01-06T07,463.664
2026-01-06T08,452.142
2026-01-06T09,520.099
2026-01-06T10,698.419
2026-01-06T11,557.217
2026-01-06T12,463.285
2026-01-06T13,387.084
2026-01-06T14,359.68
2026-01-06T15,344.231
2026-01-06T16,362.593
2026-01-06T17,360.093
2026-01-06T18,294.059
2026-01-06T19,268.212
2026-01-06T20,281.103
2026-01-06T21,282.48
2026-01-06T22,332.331
2026-01-06T23,552.726
2026-01-07T00,564.733
2026-01-07T01,676.211
2026-01-07T02,640.4
2026-01-07T03,626.575
2026-01-07T04,612.106
2026-01-07T05,595.136
2026-01-07T06,573.096
2026-01-07T07,517.466
2026-01-07T08,504.606
2026-01-07T09,580.449
2026-01-07T10,779.46
2026-01-07T11,621.874
2026-01-07T12,517.042
2026-01-07T13,431.999
2026-01-07T14,401.416
2026-01-07T15,384.173
2026-01-07T16,404.666
2026-01-07T17,401.876
2026-01-07T18,328.18
2026-01-07T19,299.334
2026-01-07T20,313.72
2026-01-07T21,315.257
2026-01-07T22,370.893
2026-01-07T23,616.862
2026-01-08T00,546.587
2026-01-08T01,654.484
2026-01-08T02,619.822
2026-01-08T03,606.442
2026-01-08T04,592.438
2026-01-08T05,576.013
2026-01-08T06,554.682
2026-01-08T07,500.839
2026-01-08T08,488.392
2026-01-08T09,561.798
2026-01-08T10,754.415
2026-01-08T11,601.892
2026-01-08T12,500.429
2026-01-08T13,418.119
2026-01-08T14,388.518
2026-01-08T15,371.829
2026-01-08T16,391.664
2026-01-08T17,388.963
2026-01-08T18,317.635
2026-01-08T19,289.716
2026-01-08T20,303.64
2026-01-08T21,305.128
2026-01-08T22,358.976
2026-01-08T23,597.041
2026-01-09T00,514.574
2026-01-09T01,616.151
2026-01-09T02,583.52
2026-01-09T03,570.923
2026-01-09T04,557.739
2026-01-09T05,542.276
2026-01-09T06,522.194
2026-01-09T07,471.505
2026-01-09T08,459.787
2026-01-09T09,528.894
2026-01-09T10,710.229
2026-01-09T11,566.64
2026-01-09T12,471.119
2026-01-09T13,393.63
2026-01-09T14,365.762
2026-01-09T15,350.051
2026-01-09T16,368.724
2026-01-09T17,366.182
2026-01-09T18,299.031
2026-01-09T19,272.747
2026-01-09T20,285.856
2026-01-09T21,287.256
2026-01-09T22,337.951
2026-01-09T23,562.073
2026-01-10T00,501.591
2026-01-10T01,600.606
2026-01-10T02,568.798
2026-01-10T03,556.519
2026-01-10T04,543.668
2026-01-10T05,528.595
2026-01-10T06,509.02
2026-01-10T07,459.609
2026-01-10T08,448.187
2026-01-10T09,515.55
2026-01-10T10,692.311
2026-01-10T11,552.344
2026-01-10T12,459.233
2026-01-10T13,383.699
2026-01-10T14,356.534
2026-01-10T15,341.22
2026-01-10T16,359.422
2026-01-10T17,356.943
2026-01-10T18,291.487
2026-01-10T19,265.866
2026-01-10T20,278.644
2026-01-10T21,280.009
2026-01-10T22,329.425
2026-01-10T23,547.892
2026-01-11T00,549.242
2026-01-11T01,657.663
2026-01-11T02,622.834
2026-01-11T03,609.388
2026-01-11T04,595.316
2026-01-11T05,578.812
2026-01-11T06,557.377
2026-01-11T07,503.272
2026-01-11T08,490.765
2026-01-11T09,564.528
2026-01-11T10,758.08
2026-01-11T11,604.816
2026-01-11T12,502.86
2026-01-11T13,420.15
2026-01-11T14,390.405
2026-01-11T15,373.636
2026-01-11T16,393.567
2026-01-11T17,390.853
2026-01-11T18,319.178
2026-01-11T19,291.123
2026-01-11T20,305.115
2026-01-11T21,306.61
2026-01-11T22,360.72
2026-01-11T23,599.942
2026-01-12T00,464.783
2026-01-12T01,556.532
2026-01-12T02,527.058
2026-01-12T03,515.68
2026-01-12T04,503.772
2026-01-12T05,489.806
2026-01-12T06,471.667
2026-01-12T07,425.882
2026-01-12T08,415.298
2026-01-12T09,477.718
2026-01-12T10,641.507
2026-01-12T11,511.811
2026-01-12T12,425.533
2026-01-12T13,355.542
2026-01-12T14,330.371
2026-01-12T15,316.18
2026-01-12T16,333.046
2026-01-12T17,330.75
2026-01-12T18,270.097
2026-01-12T19,246.356
2026-01-12T20,258.196
2026-01-12T21,259.461
2026-01-12T22,305.251
2026-01-12T23,507.686
2026-01-13T00,552.34
2026-01-13T01,661.373
2026-01-13T02,626.347
2026-01-13T03,612.826
2026-01-13T04,598.674
2026-01-13T05,582.076
2026-01-13T06,560.521
2026-01-13T07,506.111
2026-01-13T08,493.533
2026-01-13T09,567.712
2026-01-13T10,762.356
2026-01-13T11,608.228
2026-01-13T12,505.697
2026-01-13T13,422.52
2026-01-13T14,392.607
2026-01-13T15,375.743
2026-01-13T16,395.787
2026-01-13T17,393.058
2026-01-13T18,320.978
2026-01-13T19,292.765
2026-01-13T20,306.836
2026-01-13T21,308.339
2026-01-13T22,362.755
2026-01-13T23,603.326
2026-01-14T00,522.245
2026-01-14T01,625.337
2026-01-14T02,592.219
2026-01-14T03,579.434
2026-01-14T04,566.054
2026-01-14T05,550.361
2026-01-14T06,529.979
2026-01-14T07,478.534
2026-01-14T08,466.642
2026-01-14T09,536.779
2026-01-14T10,720.818
2026-01-14T11,575.087
2026-01-14T12,478.143
2026-01-14T13,399.498
2026-01-14T14,371.215
2026-01-14T15,355.27
2026-01-14T16,374.221
2026-01-14T17,371.641
2026-01-14T18,303.489
2026-01-14T19,276.813
2026-01-14T20,290.118
2026-01-14T21,291.539
2026-01-14T22,342.989
2026-01-14T23,570.452
2026-01-15T00,540.76
2026-01-15T01,647.506
2026-01-15T02,613.214
2026-01-15T03,599.977
2026-01-15T04,586.122
2026-01-15T05,569.872
2026-01-15T06,548.768
2026-01-15T07,495.499
2026-01-15T08,483.185
2026-01-15T09,555.809
2026-01-15T10,746.372
2026-01-15T11,595.475
2026-01-15T12,495.094
2026-01-15T13,413.661
2026-01-15T14,384.376
2026-01-15T15,367.865
2026-01-15T16,387.488
2026-01-15T17,384.816
2026-01-15T18,314.249
2026-01-15T19,286.627
2026-01-15T20,300.403
2026-01-15T21,301.874
2026-01-15T22,355.149
2026-01-15T23,590.676
2026-01-16T00,545.112
2026-01-16T01,652.717
2026-01-16T02,618.15
2026-01-16T03,604.805
2026-01-16T04,590.839
2026-01-16T05,574.458
2026-01-16T06,553.185
2026-01-16T07,499.487
2026-01-16T08,487.074
2026-01-16T09,560.282
2026-01-16T10,752.379
2026-01-16T11,600.268
2026-01-16T12,499.078
2026-01-16T13,416.99
2026-01-16T14,387.469
2026-01-16T15,370.826
2026-01-16T16,390.607
2026-01-16T17,387.913
2026-01-16T18,316.778
2026-01-16T19,288.934
2026-01-16T20,302.821
2026-01-16T21,304.304
2026-01-16T22,358.007
2026-01-16T23,595.43
2026-01-17T00,582.436
2026-01-17T01,697.409
2026-01-17T02,660.475
2026-01-17T03,646.217
2026-01-17T04,631.294
2026-01-17T05,613.792
2026-01-17T06,591.062
2026-01-17T07,533.687
2026-01-17T08,520.425
2026-01-17T09,598.645
2026-01-17T10,803.895
2026-01-17T11,641.369
2026-01-17T12,533.25
2026-01-17T13,445.542
2026-01-17T14,413.999
2026-01-17T15,396.217
2026-01-17T16,417.352
2026-01-17T17,414.474
2026-01-17T18,338.468
2026-01-17T19,308.717
2026-01-17T20,323.555
2026-01-17T21,325.14
2026-01-17T22,382.52
2026-01-17T23,636.199
2026-01-18T00,546.144
2026-01-18T01,653.954
2026-01-18T02,619.321
2026-01-18T03,605.951
2026-01-18T04,591.958
2026-01-18T05,575.547
2026-01-18T06,554.233
2026-01-18T07,500.433
2026-01-18T08,487.997
2026-01-18T09,561.343
2026-01-18T10,753.804
2026-01-18T11,601.405
2026-01-18T12,500.024
2026-01-18T13,417.78
2026-01-18T14,388.203
2026-01-18T15,371.528
2026-01-18T16,391.347
2026-01-18T17,388.648
2026-01-18T18,317.378
2026-01-18T19,289.481
2026-01-18T20,303.394
2026-01-18T21,304.88
2026-01-18T22,358.685
2026-01-18T23,596.558
2026-01-19T00,489.715
2026-01-19T01,586.386
2026-01-19T02,555.331
2026-01-19T03,543.343
2026-01-19T04,530.796
2026-01-19T05,516.08
2026-01-19T06,496.968
2026-01-19T07,448.727
2026-01-19T08,437.576
2026-01-19T09,503.344
2026-01-19T10,675.919
