bucket,value
2026-01-01T00,1848.012
2026-01-01T01,2212.811
2026-01-01T02,2095.622
2026-01-01T03,2050.382
2026-01-01T04,2003.034
2026-01-01T05,1947.502
2026-01-01T06,1875.381
2026-01-01T07,1693.337
2026-01-01T08,1651.256
2026-01-01T09,1899.442
2026-01-01T10,2550.68
2026-01-01T11,2035.0
2026-01-01T12,1691.951
2026-01-01T13,1413.66
2026-01-01T14,1313.579
2026-01-01T15,1257.156
2026-01-01T16,1324.217
2026-01-01T17,1315.086
2026-01-01T18,1073.925
2026-01-01T19,979.53
2026-01-01T20,1026.608
2026-01-01T21,1031.637
2026-01-01T22,1213.699
2026-01-01T23,2018.597
2026-01-02T00,1137.005
2026-01-02T01,1361.45
2026-01-02T02,1289.348
2026-01-02T03,1261.514
2026-01-02T04,1232.383
2026-01-02T05,1198.217
2026-01-02T06,1153.844
2026-01-02T07,1041.84
2026-01-02T08,1015.949
2026-01-02T09,1168.647
2026-01-02T10,1569.327
2026-01-02T11,1252.05
2026-01-02T12,1040.987
2026-01-02T13,869.766
2026-01-02T14,808.19
2026-01-02T15,773.476
2026-01-02T16,814.735
2026-01-02T17,809.117
2026-01-02T18,660.741
2026-01-02T19,602.664
2026-01-02T20,631.629
2026-01-02T21,634.723
2026-01-02T22,746.738
2026-01-02T23,1241.959
2026-01-03T00,1405.723
2026-01-03T01,1683.213
2026-01-03T02,1594.071
2026-01-03T03,1559.659
2026-01-03T04,1523.643
2026-01-03T05,1481.402
2026-01-03T06,1426.541
2026-01-03T07,1288.066
2026-01-03T08,1256.057
2026-01-03T09,1444.843
2026-01-03T10,1940.219
2026-01-03T11,1547.958
2026-01-03T12,1287.012
2026-01-03T13,1075.325
2026-01-03T14,999.197
2026-01-03T15,956.278
2026-01-03T16,1007.289
2026-01-03T17,1000.343
2026-01-03T18,816.9
2026-01-03T19,745.097
2026-01-03T20,780.907
2026-01-03T21,784.733
2026-01-03T22,923.221
2026-01-03T23,1535.481
2026-01-04T00,1452.016
2026-01-04T01,1738.646
2026-01-04T02,1646.568
2026-01-04T03,1611.022
2026-01-04T04,1573.82
2026-01-04T05,1530.188
2026-01-04T06,1473.521
2026-01-04T07,1330.485
2026-01-04T08,1297.422
2026-01-04T09,1492.425
2026-01-04T10,2004.115
2026-01-04T11,1598.936
2026-01-04T12,1329.397
2026-01-04T13,1110.738
2026-01-04T14,1032.103
2026-01-04T15,987.77
2026-01-04T16,1040.461
2026-01-04T17,1033.286
2026-01-04T18,843.802
2026-01-04T19,769.634
2026-01-04T20,806.624
2026-01-04T21,810.576
2026-01-04T22,953.625
2026-01-04T23,1586.048
2026-01-05T00,1338.997
2026-01-05T01,1603.316
2026-01-05T02,1518.406
2026-01-05T03,1485.627
2026-01-05T04,1451.32
2026-01-05T05,1411.084
2026-01-05T06,1358.828
2026-01-05T07,1226.926
2026-01-05T08,1196.436
2026-01-05T09,1376.261
2026-01-05T10,1848.123
2026-01-05T11,1474.481
2026-01-05T12,1225.922
2026-01-05T13,1024.283
2026-01-05T14,951.768
2026-01-05T15,910.886
2026-01-05T16,959.476
2026-01-05T17,952.86
2026-01-05T18,778.124
2026-01-05T19,709.729
2026-01-05T20,743.84
2026-01-05T21,747.484
2026-01-05T22,879.398
2026-01-05T23,1462.597
2026-01-06T00,1189.244
2026-01-06T01,1424.002
2026-01-06T02,1348.587
2026-01-06T03,1319.474
2026-01-06T04,1289.005
2026-01-06T05,1253.269
2026-01-06T06,1206.857
2026-01-06T07,1089.707
2026-01-06T08,1062.626
2026-01-06T09,1222.34
2026-01-06T10,1641.429
2026-01-06T11,1309.575
2026-01-06T12,1088.815
2026-01-06T13,909.727
2026-01-06T14,845.323
2026-01-06T15,809.013
2026-01-06T16,852.168
2026-01-06T17,846.292
2026-01-06T18,691.099
2026-01-06T19,630.353
2026-01-06T20,660.649
2026-01-06T21,663.885
2026-01-06T22,781.047
2026-01-06T23,1299.02
2026-01-07T00,1171.956
2026-01-07T01,1403.301
2026-01-07T02,1328.983
2026-01-07T03,1300.294
2026-01-07T04,1270.267
2026-01-07T05,1235.05
2026-01-07T06,1189.313
2026-01-07T07,1073.866
2026-01-07T08,1047.179
2026-01-07T09,1204.571
2026-01-07T10,1617.568
2026-01-07T11,1290.538
2026-01-07T12,1072.987
2026-01-07T13,896.503
2026-01-07T14,833.034
2026-01-07T15,797.252
2026-01-07T16,839.78
2026-01-07T17,833.99
2026-01-07T18,681.052
2026-01-07T19,621.19
2026-01-07T20,651.045
2026-01-07T21,654.235
2026-01-07T22,769.693
2026-01-07T23,1280.137
2026-01-08T00,1181.367
2026-01-08T01,1414.57
2026-01-08T02,1339.655
2026-01-08T03,1310.735
2026-01-08T04,1280.468
2026-01-08T05,1244.968
2026-01-08T06,1198.864
2026-01-08T07,1082.489
2026-01-08T08,1055.589
2026-01-08T09,1214.245
2026-01-08T10,1630.558
2026-01-08T11,1300.902
2026-01-08T12,1081.604
2026-01-08T13,903.702
2026-01-08T14,839.724
2026-01-08T15,803.655
2026-01-08T16,846.524
2026-01-08T17,840.687
2026-01-08T18,686.521
2026-01-08T19,626.178
2026-01-08T20,656.273
2026-01-08T21,659.488
2026-01-08T22,775.874
2026-01-08T23,1290.416
2026-01-09T00,1236.146
2026-01-09T01,1480.163
2026-01-09T02,1401.774
2026-01-09T03,1371.513
2026-01-09T04,1339.842
2026-01-09T05,1302.696
2026-01-09T06,1254.454
2026-01-09T07,1132.683
2026-01-09T08,1104.535
2026-01-09T09,1270.548
2026-01-09T10,1706.165
2026-01-09T11,1361.224
2026-01-09T12,1131.757
2026-01-09T13,945.606
2026-01-09T14,878.661
2026-01-09T15,840.919
2026-01-09T16,885.777
2026-01-09T17,879.669
2026-01-09T18,718.355
2026-01-09T19,655.214
2026-01-09T20,686.704
2026-01-09T21,690.068
2026-01-09T22,811.85
2026-01-09T23,1350.252
2026-01-10T00,946.757
2026-01-10T01,1133.648
2026-01-10T02,1073.61
2026-01-10T03,1050.434
2026-01-10T04,1026.177
2026-01-10T05,997.727
2026-01-10T06,960.779
2026-01-10T07,867.515
2026-01-10T08,845.957
2026-01-10T09,973.105
2026-01-10T10,1306.741
2026-01-10T11,1042.553
2026-01-10T12,866.806
2026-01-10T13,724.234
2026-01-10T14,672.961
2026-01-10T15,644.055
2026-01-10T16,678.411
2026-01-10T17,673.733
2026-01-10T18,550.184
2026-01-10T19,501.824
2026-01-10T20,525.943
2026-01-10T21,528.519
2026-01-10T22,621.791
2026-01-10T23,1034.15
2026-01-11T00,1230.857
2026-01-11T01,1473.829
2026-01-11T02,1395.776
2026-01-11T03,1365.644
2026-01-11T04,1334.108
2026-01-11T05,1297.122
2026-01-11T06,1249.086
2026-01-11T07,1127.836
2026-01-11T08,1099.809
2026-01-11T09,1265.111
2026-01-11T10,1698.864
2026-01-11T11,1355.399
2026-01-11T12,1126.914
2026-01-11T13,941.559
2026-01-11T14,874.901
2026-01-11T15,837.321
2026-01-11T16,881.986
2026-01-11T17,875.904
2026-01-11T18,715.281
2026-01-11T19,652.41
2026-01-11T20,683.766
2026-01-11T21,687.115
2026-01-11T22,808.376
2026-01-11T23,1344.474
2026-01-12T00,1372.422
2026-01-12T01,1643.34
2026-01-12T02,1556.309
2026-01-12T03,1522.712
2026-01-12T04,1487.549
2026-01-12T05,1446.308
2026-01-12T06,1392.748
2026-01-12T07,1257.553
2026-01-12T08,1226.302
2026-01-12T09,1410.616
2026-01-12T10,1894.257
2026-01-12T11,1511.288
2026-01-12T12,1256.524
2026-01-12T13,1049.852
2026-01-12T14,975.527
2026-01-12T15,933.624
2026-01-12T16,983.427
2026-01-12T17,976.646
2026-01-12T18,797.548
2026-01-12T19,727.446
2026-01-12T20,762.408
2026-01-12T21,766.143
2026-01-12T22,901.351
2026-01-12T23,1499.107
2026-01-13T00,1603.82
2026-01-13T01,1920.416
2026-01-13T02,1818.712
2026-01-13T03,1779.45
2026-01-13T04,1738.359
2026-01-13T05,1690.164
2026-01-13T06,1627.573
2026-01-13T07,1469.584
2026-01-13T08,1433.063
2026-01-13T09,1648.454
2026-01-13T10,2213.639
2026-01-13T11,1766.1
2026-01-13T12,1468.381
2026-01-13T13,1226.863
2026-01-13T14,1140.006
2026-01-13T15,1091.039
2026-01-13T16,1149.238
2026-01-13T17,1141.314
2026-01-13T18,932.019
2026-01-13T19,850.097
2026-01-13T20,890.955
2026-01-13T21,895.319
2026-01-13T22,1053.324
2026-01-13T23,1751.865
2026-01-14T00,1150.153
2026-01-14T01,1377.194
2026-01-14T02,1304.258
2026-01-14T03,1276.103
2026-01-14T04,1246.635
2026-01-14T05,1212.073
2026-01-14T06,1167.187
2026-01-14T07,1053.887
2026-01-14T08,1027.697
2026-01-14T09,1182.161
2026-01-14T10,1587.474
2026-01-14T11,1266.529
2026-01-14T12,1053.025
2026-01-14T13,879.824
2026-01-14T14,817.536
2026-01-14T15,782.42
2026-01-14T16,824.157
2026-01-14T17,818.474
2026-01-14T18,668.382
2026-01-14T19,609.633
2026-01-14T20,638.933
2026-01-14T21,642.063
2026-01-14T22,755.373
2026-01-14T23,1256.321
2026-01-15T00,1127.07
2026-01-15T01,1349.554
2026-01-15T02,1278.083
2026-01-15T03,1250.492
2026-01-15T04,1221.615
2026-01-15T05,1187.747
2026-01-15T06,1143.762
2026-01-15T07,1032.736
2026-01-15T08,1007.072
2026-01-15T09,1158.436
2026-01-15T10,1555.614
2026-01-15T11,1241.11
2026-01-15T12,1031.891
2026-01-15T13,862.166
2026-01-15T14,801.129
2026-01-15T15,766.717
2026-01-15T16,807.616
2026-01-15T17,802.047
2026-01-15T18,654.968
2026-01-15T19,597.398
2026-01-15T20,626.11
2026-01-15T21,629.177
2026-01-15T22,740.213
2026-01-15T23,1231.107
2026-01-16T00,1197.703
2026-01-16T01,1434.131
2026-01-16T02,1358.18
2026-01-16T03,1328.86
2026-01-16T04,1298.174
2026-01-16T05,1262.183
2026-01-16T06,1215.441
2026-01-16T07,1097.458
2026-01-16T08,1070.185
2026-01-16T09,1231.035
2026-01-16T10,1653.105
2026-01-16T11,1318.89
2026-01-16T12,1096.56
2026-01-16T13,916.198
2026-01-16T14,851.335
2026-01-16T15,814.767
2026-01-16T16,858.23
2026-01-16T17,852.312
2026-01-16T18,696.014
2026-01-16T19,634.837
2026-01-16T20,665.348
2026-01-16T21,668.608
2026-01-16T22,786.602
2026-01-16T23,1308.26
2026-01-17T00,1154.224
2026-01-17T01,1382.069
2026-01-17T02,1308.875
2026-01-17T03,1280.619
2026-01-17T04,1251.047
2026-01-17T05,1216.363
2026-01-17T06,1171.318
2026-01-17T07,1057.618
2026-01-17T08,1031.335
2026-01-17T09,1186.346
2026-01-17T10,1593.093
2026-01-17T11,1271.012
2026-01-17T12,1056.752
2026-01-17T13,882.938
2026-01-17T14,820.43
2026-01-17T15,785.189
2026-01-17T16,827.074
2026-01-17T17,821.371
2026-01-17T18,670.748
2026-01-17T19,611.791
2026-01-17T20,641.195
2026-01-17T21,644.336
2026-01-17T22,758.047
2026-01-17T23,1260.767
2026-01-18T00,933.267
2026-01-18T01,1117.495
2026-01-18T02,1058.313
2026-01-18T03,1035.467
2026-01-18T04,1011.556
2026-01-18T05,983.511
2026-01-18T06,947.089
2026-01-18T07,855.155
2026-01-18T08,833.903
2026-01-18T09,959.24
2026-01-18T10,1288.123
2026-01-18T11,1027.698
2026-01-18T12,854.455
2026-01-18T13,713.915
2026-01-18T14,663.373
2026-01-18T15,634.878
2026-01-18T16,668.745
2026-01-18T17,664.134
2026-01-18T18,542.344
2026-01-18T19,494.674
2026-01-18T20,518.449
2026-01-18T21,520.989
2026-01-18T22,612.932
2026-01-18T23,1019.415
2026-01-19T00,1331.462
2026-01-19T01,1594.294
2026-01-19T02,1509.861
2026-01-19T03,1477.266
2026-01-19T04,1443.153
2026-01-19T05,1403.143
2026-01-19T06,1351.181
2026-01-19T07,1220.021
2026-01-19T08,1189.703
2026-01-19T09,1368.516
2026-01-19T10,1837.722
2026-01-19T11,1466.183
2026-01-19T12,1219.023
2026-01-19T13,1018.519
2026-01-19T14,946.412
2026-01-19T15,905.76
2026-01-19T16,954.076
2026-01-19T17,947.497
2026-01-19T18,773.745
2026-01-19T19,705.735
2026-01-19T20,739.654
2026-01-19T21,743.277
2026-01-19T22,874.45
2026-01-19T23,1454.366
2026-01-20T00,1157.675
2026-01-20T01,1386.201
2026-01-20T02,1312.788
2026-01-20T03,1284.448
2026-01-20T04,1254.787
2026-01-20T05,1220.0
2026-01-20T06,1174.82
2026-01-20T07,1060.779
2026-01-20T08,1034.418
2026-01-20T09,1189.892
2026-01-20T10,1597.856
2026-01-20T11,1274.812
2026-01-20T12,1059.911
2026-01-20T13,885.578
2026-01-20T14,822.883
2026-01-20T15,787.537
2026-01-20T16,829.547
2026-01-20T17,823.826
2026-01-20T18,672.753
2026-01-20T19,613.62
2026-01-20T20,643.112
2026-01-20T21,646.262
2026-01-20T22,760.313
2026-01-20T23,1264.537
2026-01-21T00,1220.033
2026-01-21T01,1460.868
2026-01-21T02,1383.501
2026-01-21T03,1353.634
2026-01-21T04,1322.376
2026-01-21T05,1285.715
2026-01-21T06,1238.101
2026-01-21T07,1117.918
2026-01-21T08,1090.137
2026-01-21T09,1253.986
2026-01-21T10,1683.924
2026-01-21T11,1343.479
2026-01-21T12,1117.003
2026-01-21T13,933.279
2026-01-21T14,867.207
2026-01-21T15,829.957
2026-01-21T16,874.23
2026-01-21T17,868.202
2026-01-21T18,708.991
2026-01-21T19,646.672
2026-01-21T20,677.753
2026-01-21T21,681.073
