bucket,value
2026-01-01T00,1594.209
2026-01-01T01,1908.907
2026-01-01T02,1807.812
2026-01-01T03,1768.786
2026-01-01T04,1727.941
2026-01-01T05,1680.035
2026-01-01T06,1617.819
2026-01-01T07,1460.777
2026-01-01T08,1424.475
2026-01-01T09,1638.575
2026-01-01T10,2200.373
2026-01-01T11,1755.516
2026-01-01T12,1459.582
2026-01-01T13,1219.51
2026-01-01T14,1133.174
2026-01-01T15,1084.5
2026-01-01T16,1142.351
2026-01-01T17,1134.474
2026-01-01T18,926.434
2026-01-01T19,845.003
2026-01-01T20,885.615
2026-01-01T21,889.954
2026-01-01T22,1047.011
2026-01-01T23,1741.366
2026-01-02T00,1920.138
2026-01-02T01,2299.175
2026-01-02T02,2177.412
2026-01-02T03,2130.407
2026-01-02T04,2081.211
2026-01-02T05,2023.512
2026-01-02T06,1948.576
2026-01-02T07,1759.427
2026-01-02T08,1715.703
2026-01-02T09,1973.575
2026-01-02T10,2650.231
2026-01-02T11,2114.424
2026-01-02T12,1757.987
2026-01-02T13,1468.834
2026-01-02T14,1364.847
2026-01-02T15,1306.222
2026-01-02T16,1375.9
2026-01-02T17,1366.412
2026-01-02T18,1115.839
2026-01-02T19,1017.76
2026-01-02T20,1066.676
2026-01-02T21,1071.901
2026-01-02T22,1261.068
2026-01-02T23,2097.382
2026-01-03T00,2032.664
2026-01-03T01,2433.914
2026-01-03T02,2305.015
2026-01-03T03,2255.255
2026-01-03T04,2203.176
2026-01-03T05,2142.096
2026-01-03T06,2062.768
2026-01-03T07,1862.534
2026-01-03T08,1816.249
2026-01-03T09,2089.233
2026-01-03T10,2805.542
2026-01-03T11,2238.336
2026-01-03T12,1861.01
2026-01-03T13,1554.912
2026-01-03T14,1444.831
2026-01-03T15,1382.77
2026-01-03T16,1456.532
2026-01-03T17,1446.488
2026-01-03T18,1181.231
2026-01-03T19,1077.404
2026-01-03T20,1129.186
2026-01-03T21,1134.718
2026-01-03T22,1334.971
2026-01-03T23,2220.294
2026-01-04T00,1950.962
2026-01-04T01,2336.084
2026-01-04T02,2212.366
2026-01-04T03,2164.606
2026-01-04T04,2114.62
2026-01-04T05,2055.995
2026-01-04T06,1979.856
2026-01-04T07,1787.67
2026-01-04T08,1743.245
2026-01-04T09,2005.257
2026-01-04T10,2692.774
2026-01-04T11,2148.366
2026-01-04T12,1786.208
2026-01-04T13,1492.413
2026-01-04T14,1386.757
2026-01-04T15,1327.19
2026-01-04T16,1397.987
2026-01-04T17,1388.347
2026-01-04T18,1133.751
2026-01-04T19,1034.098
2026-01-04T20,1083.799
2026-01-04T21,1089.108
2026-01-04T22,1281.312
2026-01-04T23,2131.05
2026-01-05T00,1772.034
2026-01-05T01,2121.835
2026-01-05T02,2009.464
2026-01-05T03,1966.084
2026-01-05T04,1920.683
2026-01-05T05,1867.434
2026-01-05T06,1798.278
2026-01-05T07,1623.718
2026-01-05T08,1583.367
2026-01-05T09,1821.349
2026-01-05T10,2445.813
2026-01-05T11,1951.334
2026-01-05T12,1622.39
2026-01-05T13,1355.54
2026-01-05T14,1259.574
2026-01-05T15,1205.47
2026-01-05T16,1269.774
2026-01-05T17,1261.018
2026-01-05T18,1029.772
2026-01-05T19,939.258
2026-01-05T20,984.401
2026-01-05T21,989.223
2026-01-05T22,1163.799
2026-01-05T23,1935.606
2026-01-06T00,1890.37
2026-01-06T01,2263.53
2026-01-06T02,2143.655
2026-01-06T03,2097.378
2026-01-06T04,2048.945
2026-01-06T05,1992.14
2026-01-06T06,1918.366
2026-01-06T07,1732.149
2026-01-06T08,1689.104
2026-01-06T09,1942.978
2026-01-06T10,2609.143
2026-01-06T11,2081.643
2026-01-06T12,1730.732
2026-01-06T13,1446.062
2026-01-06T14,1343.687
2026-01-06T15,1285.971
2026-01-06T16,1354.569
2026-01-06T17,1345.228
2026-01-06T18,1098.54
2026-01-06T19,1001.981
2026-01-06T20,1050.138
2026-01-06T21,1055.283
2026-01-06T22,1241.517
2026-01-06T23,2064.865
2026-01-07T00,1846.794
2026-01-07T01,2211.353
2026-01-07T02,2094.241
2026-01-07T03,2049.031
2026-01-07T04,2001.714
2026-01-07T05,1946.219
2026-01-07T06,1874.145
2026-01-07T07,1692.221
2026-01-07T08,1650.168
2026-01-07T09,1898.19
2026-01-07T10,2548.999
2026-01-07T11,2033.659
2026-01-07T12,1690.837
2026-01-07T13,1412.728
