tipo;data_hora;SCDE_kWh;banco_kWh;dif_%
HORA_FALTANTE;02/02/2026 07:00;15.0;;
HORA_FALTANTE;02/02/2026 08:00;14.0;;
HORA_FALTANTE;03/02/2026 05:00;14.0;;
HORA_FALTANTE;03/02/2026 06:00;15.0;;
HORA_FALTANTE;04/02/2026 02:00;15.0;;
HORA_FALTANTE;05/02/2026 03:00;15.0;;
HORA_FALTANTE;07/02/2026 08:00;13.0;;
HORA_FALTANTE;09/02/2026 02:00;12.0;;
HORA_FALTANTE;10/02/2026 05:00;13.0;;
HORA_FALTANTE;11/02/2026 06:00;14.0;;
HORA_FALTANTE;12/02/2026 06:00;14.0;;
HORA_FALTANTE;13/02/2026 04:00;13.0;;
HORA_FALTANTE;13/02/2026 08:00;13.0;;
HORA_FALTANTE;14/02/2026 06:00;13.0;;
HORA_FALTANTE;14/02/2026 08:00;13.0;;
HORA_FALTANTE;15/02/2026 00:00;13.0;;
HORA_FALTANTE;15/02/2026 07:00;12.0;;
HORA_FALTANTE;15/02/2026 22:00;13.0;;
HORA_FALTANTE;16/02/2026 23:00;13.0;;
HORA_FALTANTE;17/02/2026 00:00;13.0;;
HORA_FALTANTE;17/02/2026 03:00;13.0;;
HORA_FALTANTE;18/02/2026 07:00;13.0;;
HORA_FALTANTE;18/02/2026 08:00;13.0;;
HORA_FALTANTE;18/02/2026 14:00;749.0;;
HORA_FALTANTE;19/02/2026 08:00;12.0;;
HORA_FALTANTE;20/02/2026 07:00;48.0;;
HORA_FALTANTE;21/02/2026 06:00;13.0;;
HORA_FALTANTE;22/02/2026 03:00;12.0;;
HORA_FALTANTE;22/02/2026 04:00;12.0;;
HORA_FALTANTE;22/02/2026 05:00;11.0;;
HORA_FALTANTE;23/02/2026 01:00;13.0;;
HORA_FALTANTE;27/02/2026 23:00;13.0;;
HORA_FALTANTE;28/02/2026 11:00;677.0;;
HORA_FALTANTE;28/02/2026 12:00;651.0;;
DISCREPANCIA_>10%;01/02/2026 00:00;15.000;7.590;-49.4
DISCREPANCIA_>10%;01/02/2026 01:00;14.000;6.830;-51.2
DISCREPANCIA_>10%;01/02/2026 02:00;15.000;7.590;-49.4
DISCREPANCIA_>10%;01/02/2026 03:00;15.000;7.590;-49.4
DISCREPANCIA_>10%;01/02/2026 04:00;15.000;7.590;-49.4
DISCREPANCIA_>10%;01/02/2026 05:00;15.000;7.590;-49.4
DISCREPANCIA_>10%;01/02/2026 06:00;14.000;6.830;-51.2
DISCREPANCIA_>10%;01/02/2026 07:00;15.000;6.070;-59.5
DISCREPANCIA_>10%;01/02/2026 08:00;15.000;7.590;-49.4
DISCREPANCIA_>10%;01/02/2026 09:00;15.000;7.590;-49.4
DISCREPANCIA_>10%;01/02/2026 10:00;16.000;7.590;-52.6
DISCREPANCIA_>10%;01/02/2026 11:00;507.000;410.870;-19.0
DISCREPANCIA_>10%;01/02/2026 21:00;420.000;358.250;-14.7
DISCREPANCIA_>10%;01/02/2026 22:00;15.000;6.070;-59.5
DISCREPANCIA_>10%;01/02/2026 23:00;14.000;6.070;-56.6
DISCREPANCIA_>10%;02/02/2026 00:00;16.000;8.350;-47.8
DISCREPANCIA_>10%;02/02/2026 01:00;14.000;6.070;-56.6
