tipo;data_hora;SCDE_kWh;banco_kWh;dif_%
HORA_FALTANTE;28/02/2026 11:00;2332.0;;
HORA_FALTANTE;28/02/2026 12:00;2423.0;;
DISCREPANCIA_>10%;02/02/2026 08:00;859.000;760.270;-11.5
DISCREPANCIA_>10%;02/02/2026 09:00;1439.000;1238.010;-14.0
DISCREPANCIA_>10%;04/02/2026 22:00;1539.000;1700.740;+10.5
DISCREPANCIA_>10%;05/02/2026 08:00;994.000;835.350;-16.0
DISCREPANCIA_>10%;05/02/2026 09:00;1696.000;1498.010;-11.7
DISCREPANCIA_>10%;06/02/2026 22:00;1536.000;1357.220;-11.6
DISCREPANCIA_>10%;07/02/2026 22:00;1613.000;1816.190;+12.6
DISCREPANCIA_>10%;08/02/2026 22:00;1035.000;833.480;-19.5
DISCREPANCIA_>10%;09/02/2026 22:00;1283.000;1570.280;+22.4
DISCREPANCIA_>10%;11/02/2026 09:00;1554.000;1371.290;-11.8
DISCREPANCIA_>10%;12/02/2026 22:00;1303.000;1688.540;+29.6
DISCREPANCIA_>10%;13/02/2026 22:00;1336.000;1506.450;+12.8
DISCREPANCIA_>10%;14/02/2026 08:00;927.000;797.810;-13.9
DISCREPANCIA_>10%;14/02/2026 09:00;1436.000;1237.070;-13.9
DISCREPANCIA_>10%;14/02/2026 22:00;1240.000;1479.230;+19.3
DISCREPANCIA_>10%;15/02/2026 11:00;1346.000;1179.820;-12.3
DISCREPANCIA_>10%;19/02/2026 22:00;1223.000;1370.360;+12.0
DISCREPANCIA_>10%;20/02/2026 22:00;1350.000;1561.830;+15.7
DISCREPANCIA_>10%;21/02/2026 08:00;956.000;850.370;-11.0
DISCREPANCIA_>10%;21/02/2026 09:00;1544.000;1282.130;-17.0
DISCREPANCIA_>10%;23/02/2026 22:00;1215.000;1535.550;+26.4
DISCREPANCIA_>10%;24/02/2026 07:00;655.000;586.630;-10.4
DISCREPANCIA_>10%;24/02/2026 08:00;1003.000;829.720;-17.3
DISCREPANCIA_>10%;24/02/2026 22:00;1173.000;1295.270;+10.4
DISCREPANCIA_>10%;25/02/2026 09:00;1586.000;1352.520;-14.7
DISCREPANCIA_>10%;26/02/2026 22:00;1211.000;1533.670;+26.6
DISCREPANCIA_>10%;27/02/2026 22:00;1339.000;1533.670;+14.5
DISCREPANCIA_>10%;28/02/2026 09:00;1542.000;1234.260;-20.0
DISCREPANCIA_>10%;28/02/2026 22:00;1405.000;1751.430;+24.7
