bucket,value
2026-01-01T00,377.017
2026-01-01T01,430.887
2026-01-01T02,444.156
2026-01-01T03,432.226
2026-01-01T04,366.854
2026-01-01T05,337.222
2026-01-01T06,334.209
2026-01-01T07,327.579
2026-01-01T08,329.318
2026-01-01T09,230.26
2026-01-01T10,465.525
2026-01-01T11,488.268
2026-01-01T12,501.991
2026-01-01T13,504.118
2026-01-01T14,500.77
2026-01-01T15,508.181
2026-01-01T16,538.954
2026-01-01T17,561.757
2026-01-01T18,513.505
2026-01-01T19,524.899
2026-01-01T20,550.053
2026-01-01T21,422.462
2026-01-01T22,480.079
2026-01-01T23,481.324
2026-01-02T00,472.854
2026-01-02T01,495.885
2026-01-02T02,435.01
2026-01-02T03,423.918
2026-01-02T04,438.613
2026-01-02T05,332.713
2026-01-02T06,290.719
2026-01-02T07,287.95
2026-01-02T08,266.358
2026-01-02T09,277.483
2026-01-02T10,543.006
2026-01-02T11,490.799
2026-01-02T12,485.088
2026-01-02T13,486.415
2026-01-02T14,495.559
2026-01-02T15,509.196
2026-01-02T16,515.332
2026-01-02T17,515.454
2026-01-02T18,516.652
2026-01-02T19,516.275
2026-01-02T20,502.519
2026-01-02T21,395.887
2026-01-02T22,395.601
2026-01-02T23,386.104
2026-01-03T00,378.38
2026-01-03T01,378.916
2026-01-03T02,378.684
2026-01-03T03,377.363
2026-01-03T04,377.151
2026-01-03T05,375.333
2026-01-03T06,370.632
2026-01-03T07,371.433
2026-01-03T08,371.103
2026-01-03T09,211.033
2026-01-03T10,385.078
2026-01-03T11,399.784
2026-01-03T12,397.09
2026-01-03T13,394.146
2026-01-03T14,392.246
2026-01-03T15,401.21
2026-01-03T16,410.002
2026-01-03T17,424.67
2026-01-03T18,473.44
2026-01-03T19,483.555
2026-01-03T20,483.019
2026-01-03T21,376.089
2026-01-03T22,396.972
2026-01-03T23,398.595
2026-01-04T00,398.083
2026-01-04T01,397.055
2026-01-04T02,395.407
2026-01-04T03,390.884
2026-01-04T04,385.169
2026-01-04T05,374.603
2026-01-04T06,364.102
2026-01-04T07,357.963
2026-01-04T08,357.613
2026-01-04T09,369.175
2026-01-04T10,377.71
2026-01-04T11,338.345
2026-01-04T12,334.699
2026-01-04T13,404.836
2026-01-04T14,413.368
2026-01-04T15,399.952
2026-01-04T16,393.898
2026-01-04T17,390.383
2026-01-04T18,393.674
2026-01-04T19,438.33
2026-01-04T20,458.321
2026-01-04T21,349.851
2026-01-04T22,367.189
2026-01-04T23,364.974
2026-01-05T00,361.964
2026-01-05T01,361.724
2026-01-05T02,357.97
2026-01-05T03,351.748
2026-01-05T04,342.091
2026-01-05T05,336.924
2026-01-05T06,332.725
2026-01-05T07,333.809
2026-01-05T08,262.423
2026-01-05T09,202.429
2026-01-05T10,423.683
2026-01-05T11,420.125
2026-01-05T12,424.788
2026-01-05T13,421.813
2026-01-05T14,419.967
2026-01-05T15,427.032
2026-01-05T16,444.105
2026-01-05T17,463.547
2026-01-05T18,471.076
2026-01-05T19,481.47
2026-01-05T20,474.731
2026-01-05T21,361.791
2026-01-05T22,386.051
2026-01-05T23,387.154
2026-01-06T00,386.465
2026-01-06T01,385.45
2026-01-06T02,385.477
2026-01-06T03,384.923
2026-01-06T04,381.8
2026-01-06T05,375.941
2026-01-06T06,368.43
2026-01-06T07,287.448
2026-01-06T08,344.491
2026-01-06T09,204.657
2026-01-06T10,388.958
2026-01-06T11,392.707
2026-01-06T12,392.902
2026-01-06T13,388.747
2026-01-06T14,388.022
2026-01-06T15,397.974
2026-01-06T16,416.426
2026-01-06T17,461.229
2026-01-06T18,499.171
2026-01-06T19,480.695
2026-01-06T20,488.129
2026-01-06T21,373.546
2026-01-06T22,381.787
2026-01-06T23,378.368
2026-01-07T00,377.561
2026-01-07T01,281.289
2026-01-07T02,279.083
2026-01-07T03,277.638
2026-01-07T04,274.825
2026-01-07T05,272.948
2026-01-07T06,270.65
2026-01-07T07,270.417
2026-01-07T08,263.32
2026-01-07T09,191.296
2026-01-07T10,339.312
2026-01-07T11,364.52
2026-01-07T12,469.987
2026-01-07T13,475.801
2026-01-07T14,453.434
2026-01-07T15,466.433
2026-01-07T16,509.899
2026-01-07T17,513.566
2026-01-07T18,518.908
2026-01-07T19,511.653
2026-01-07T20,493.664
2026-01-07T21,472.609
2026-01-07T22,516.952
2026-01-07T23,515.296
2026-01-08T00,377.017
2026-01-08T01,430.887
2026-01-08T02,444.156
2026-01-08T03,432.226
2026-01-08T04,366.854
2026-01-08T05,337.222
2026-01-08T06,334.209
2026-01-08T07,327.579
2026-01-08T08,329.318
2026-01-08T09,230.26
2026-01-08T10,465.525
2026-01-08T11,488.268
2026-01-08T12,501.991
2026-01-08T13,504.118
2026-01-08T14,500.77
2026-01-08T15,508.181
2026-01-08T16,538.954
2026-01-08T17,561.757
2026-01-08T18,513.505
2026-01-08T19,524.899
2026-01-08T20,550.053
2026-01-08T21,422.462
2026-01-08T22,480.079
2026-01-08T23,481.324
2026-01-09T00,472.854
2026-01-09T01,495.885
2026-01-09T02,435.01
2026-01-09T03,423.918
2026-01-09T04,438.613
2026-01-09T05,332.713
2026-01-09T06,290.719
2026-01-09T07,287.95
2026-01-09T08,266.358
2026-01-09T09,277.483
2026-01-09T10,543.006
2026-01-09T11,490.799
2026-01-09T12,485.088
2026-01-09T13,486.415
2026-01-09T14,495.559
2026-01-09T15,509.196
2026-01-09T16,515.332
2026-01-09T17,515.454
2026-01-09T18,516.652
2026-01-09T19,516.275
2026-01-09T20,502.519
2026-01-09T21,395.887
2026-01-09T22,395.601
2026-01-09T23,386.104
2026-01-10T00,378.38
2026-01-10T01,378.916
2026-01-10T02,378.684
2026-01-10T03,377.363
2026-01-10T04,377.151
2026-01-10T05,375.333
2026-01-10T06,370.632
2026-01-10T07,371.433
2026-01-10T08,371.103
2026-01-10T09,211.033
2026-01-10T10,385.078
2026-01-10T11,399.784
2026-01-10T12,397.09
2026-01-10T13,394.146
2026-01-10T14,392.246
2026-01-10T15,401.21
2026-01-10T16,410.002
2026-01-10T17,424.67
2026-01-10T18,473.44
2026-01-10T19,483.555
2026-01-10T20,483.019
2026-01-10T21,376.089
2026-01-10T22,396.972
2026-01-10T23,398.595
2026-01-11T00,398.083
2026-01-11T01,397.055
2026-01-11T02,395.407
2026-01-11T03,390.884
2026-01-11T04,385.169
2026-01-11T05,374.603
2026-01-11T06,364.102
2026-01-11T07,357.963
2026-01-11T08,357.613
2026-01-11T09,369.175
2026-01-11T10,377.71
2026-01-11T11,338.345
2026-01-11T12,334.699
2026-01-11T13,404.836
2026-01-11T14,413.368
2026-01-11T15,399.952
2026-01-11T16,393.898
2026-01-11T17,390.383
2026-01-11T18,393.674
2026-01-11T19,438.33
2026-01-11T20,458.321
2026-01-11T21,349.851
2026-01-11T22,367.189
2026-01-11T23,364.974
2026-01-12T00,361.964
2026-01-12T01,361.724
2026-01-12T02,357.97
2026-01-12T03,351.748
2026-01-12T04,342.091
2026-01-12T05,336.924
2026-01-12T06,332.725
2026-01-12T07,333.809
2026-01-12T08,262.423
2026-01-12T09,202.429
2026-01-12T10,423.683
2026-01-12T11,420.125
2026-01-12T12,424.788
2026-01-12T13,421.813
2026-01-12T14,419.967
2026-01-12T15,427.032
2026-01-12T16,444.105
2026-01-12T17,463.547
2026-01-12T18,471.076
2026-01-12T19,481.47
2026-01-12T20,474.731
2026-01-12T21,361.791
2026-01-12T22,386.051
2026-01-12T23,387.154
2026-01-13T00,386.465
2026-01-13T01,385.45
2026-01-13T02,385.477
2026-01-13T03,384.923
2026-01-13T04,381.8
2026-01-13T05,375.941
2026-01-13T06,368.43
2026-01-13T07,287.448
2026-01-13T08,344.491
2026-01-13T09,204.657
2026-01-13T10,388.958
2026-01-13T11,392.707
2026-01-13T12,392.902
2026-01-13T13,388.747
2026-01-13T14,388.022
2026-01-13T15,397.974
2026-01-13T16,416.426
2026-01-13T17,461.229
2026-01-13T18,499.171
2026-01-13T19,480.695
2026-01-13T20,488.129
2026-01-13T21,373.546
2026-01-13T22,381.787
2026-01-13T23,378.368
2026-01-14T00,377.561
2026-01-14T01,281.289
2026-01-14T02,279.083
2026-01-14T03,277.638
2026-01-14T04,274.825
2026-01-14T05,272.948
2026-01-14T06,270.65
2026-01-14T07,270.417
2026-01-14T08,263.32
2026-01-14T09,191.296
2026-01-14T10,339.312
2026-01-14T11,364.52
2026-01-14T12,469.987
2026-01-14T13,475.801
2026-01-14T14,453.434
2026-01-14T15,466.433
2026-01-14T16,509.899
2026-01-14T17,513.566
2026-01-14T18,518.908
2026-01-14T19,511.653
2026-01-14T20,493.664
2026-01-14T21,472.609
2026-01-14T22,516.952
2026-01-14T23,515.296
2026-01-15T00,377.017
2026-01-15T01,430.887
2026-01-15T02,444.156
2026-01-15T03,432.226
2026-01-15T04,366.854
2026-01-15T05,337.222
2026-01-15T06,334.209
2026-01-15T07,327.579
2026-01-15T08,329.318
2026-01-15T09,230.26
2026-01-15T10,465.525
2026-01-15T11,488.268
2026-01-15T12,501.991
2026-01-15T13,504.118
2026-01-15T14,500.77
2026-01-15T15,508.181
2026-01-15T16,538.954
2026-01-15T17,561.757
