bucket,value
2026-01-01T00,616.013
2026-01-01T01,544.134
2026-01-01T02,529.081
2026-01-01T03,505.193
2026-01-01T04,500.786
2026-01-01T05,502.868
2026-01-01T06,530.827
2026-01-01T07,667.42
2026-01-01T08,1020.343
2026-01-01T09,1668.092
2026-01-01T10,2477.874
2026-01-01T11,2542.518
2026-01-01T12,2595.71
2026-01-01T13,2585.3
2026-01-01T14,2568.587
2026-01-01T15,2574.888
2026-01-01T16,2570.776
2026-01-01T17,2559.572
2026-01-01T18,2577.606
2026-01-01T19,2543.903
2026-01-01T20,2488.258
2026-01-01T21,2111.92
2026-01-01T22,1222.874
2026-01-01T23,817.656
2026-01-02T00,622.668
2026-01-02T01,530.122
2026-01-02T02,509.113
2026-01-02T03,494.539
2026-01-02T04,486.225
2026-01-02T05,479.583
2026-01-02T06,503.121
2026-01-02T07,656.428
2026-01-02T08,1008.061
2026-01-02T09,1649.247
2026-01-02T10,2425.129
2026-01-02T11,2448.107
2026-01-02T12,2519.14
2026-01-02T13,2541.751
2026-01-02T14,2550.083
2026-01-02T15,2541.844
2026-01-02T16,2542.156
2026-01-02T17,2527.127
2026-01-02T18,2536.493
2026-01-02T19,2536.907
2026-01-02T20,2487.414
2026-01-02T21,2162.503
2026-01-02T22,1276.281
2026-01-02T23,850.369
2026-01-03T00,631.372
2026-01-03T01,527.03
2026-01-03T02,506.75
2026-01-03T03,497.568
2026-01-03T04,489.757
2026-01-03T05,493.361
2026-01-03T06,517.911
2026-01-03T07,661.68
2026-01-03T08,969.637
2026-01-03T09,1566.13
2026-01-03T10,2352.696
2026-01-03T11,2448.913
2026-01-03T12,2494.681
2026-01-03T13,2504.837
2026-01-03T14,2548.806
2026-01-03T15,2523.257
2026-01-03T16,2510.941
2026-01-03T17,2487.108
2026-01-03T18,2539.573
2026-01-03T19,2496.135
2026-01-03T20,2505.424
2026-01-03T21,2220.047
2026-01-03T22,1304.42
2026-01-03T23,883.964
2026-01-04T00,660.209
2026-01-04T01,550.693
2026-01-04T02,524.2
2026-01-04T03,519.061
2026-01-04T04,509.372
2026-01-04T05,510.523
2026-01-04T06,526.975
2026-01-04T07,599.54
2026-01-04T08,774.354
2026-01-04T09,895.989
2026-01-04T10,1055.495
2026-01-04T11,1362.49
2026-01-04T12,2081.418
2026-01-04T13,2465.953
2026-01-04T14,2502.287
2026-01-04T15,2479.557
2026-01-04T16,2426.896
2026-01-04T17,2432.689
2026-01-04T18,2449.714
2026-01-04T19,2417.043
2026-01-04T20,2139.669
2026-01-04T21,1504.309
2026-01-04T22,1017.317
2026-01-04T23,707.655
2026-01-05T00,607.845
2026-01-05T01,544.731
2026-01-05T02,521.31
2026-01-05T03,507.822
2026-01-05T04,499.28
2026-01-05T05,496.371
2026-01-05T06,517.154
2026-01-05T07,660.382
2026-01-05T08,964.828
2026-01-05T09,1598.504
2026-01-05T10,2353.305
2026-01-05T11,2433.964
2026-01-05T12,2488.392
2026-01-05T13,2497.913
2026-01-05T14,2489.184
2026-01-05T15,2489.93
2026-01-05T16,2491.052
2026-01-05T17,2459.288
2026-01-05T18,2447.027
2026-01-05T19,2459.068
2026-01-05T20,2428.923
2026-01-05T21,2050.415
2026-01-05T22,1166.76
2026-01-05T23,784.777
2026-01-06T00,636.14
2026-01-06T01,550.123
2026-01-06T02,523.857
2026-01-06T03,516.025
2026-01-06T04,510.322
2026-01-06T05,512.986
2026-01-06T06,550.682
2026-01-06T07,644.147
2026-01-06T08,991.131
2026-01-06T09,1528.021
2026-01-06T10,2341.545
2026-01-06T11,2430.235
2026-01-06T12,2469.454
2026-01-06T13,2446.364
2026-01-06T14,2445.849
2026-01-06T15,2440.904
