bucket,value
2026-01-01T00,657.32
2026-01-01T01,620.961
2026-01-01T02,644.428
2026-01-01T03,622.803
2026-01-01T04,625.595
2026-01-01T05,600.167
2026-01-01T06,513.249
2026-01-01T07,464.117
2026-01-01T08,558.223
2026-01-01T09,773.409
2026-01-01T10,1310.126
2026-01-01T11,1405.48
2026-01-01T12,1568.8
2026-01-01T13,1521.628
2026-01-01T14,1558.997
2026-01-01T15,1587.098
2026-01-01T16,1541.233
2026-01-01T17,1530.302
2026-01-01T18,1501.903
2026-01-01T19,1541.114
2026-01-01T20,1482.298
2026-01-01T21,1446.057
2026-01-01T22,974.693
2026-01-01T23,838.998
2026-01-02T00,737.641
2026-01-02T01,755.88
2026-01-02T02,754.038
2026-01-02T03,743.463
2026-01-02T04,724.63
2026-01-02T05,669.735
2026-01-02T06,448.133
2026-01-02T07,409.338
2026-01-02T08,512.95
2026-01-02T09,810.656
2026-01-02T10,1380.7
2026-01-02T11,1495.362
2026-01-02T12,1535.405
2026-01-02T13,1538.494
2026-01-02T14,1616.084
2026-01-02T15,1662.009
2026-01-02T16,1654.048
2026-01-02T17,1638.363
2026-01-02T18,1648.76
2026-01-02T19,1688.03
2026-01-02T20,1633.551
2026-01-02T21,1479.618
2026-01-02T22,1140.503
2026-01-02T23,835.609
2026-01-03T00,671.184
2026-01-03T01,666.706
2026-01-03T02,634.29
2026-01-03T03,618.382
2026-01-03T04,606.82
2026-01-03T05,601.539
2026-01-03T06,436.45
2026-01-03T07,372.353
2026-01-03T08,477.021
2026-01-03T09,774.248
2026-01-03T10,1410.409
2026-01-03T11,1506.722
2026-01-03T12,1528.11
2026-01-03T13,1556.784
2026-01-03T14,1551.303
2026-01-03T15,1570.419
2026-01-03T16,1561.93
2026-01-03T17,1555.18
2026-01-03T18,1551.437
2026-01-03T19,1641.133
2026-01-03T20,1594.347
2026-01-03T21,1602.1
2026-01-03T22,1167.722
2026-01-03T23,864.412
2026-01-04T00,801.461
2026-01-04T01,758.417
2026-01-04T02,747.656
2026-01-04T03,733.954
2026-01-04T04,718.581
2026-01-04T05,707.954
2026-01-04T06,537.181
2026-01-04T07,375.298
2026-01-04T08,412.862
2026-01-04T09,490.461
2026-01-04T10,748.725
2026-01-04T11,1050.969
2026-01-04T12,1154.435
2026-01-04T13,1434.956
2026-01-04T14,1565.425
2026-01-04T15,1552.325
2026-01-04T16,1544.705
2026-01-04T17,1566.828
2026-01-04T18,1570.037
2026-01-04T19,1554.53
2026-01-04T20,1535.281
2026-01-04T21,1267.125
2026-01-04T22,925.312
2026-01-04T23,774.525
2026-01-05T00,678.226
2026-01-05T01,677.395
2026-01-05T02,667.889
2026-01-05T03,657.849
2026-01-05T04,648.462
2026-01-05T05,641.214
2026-01-05T06,404.583
2026-01-05T07,386.404
2026-01-05T08,476.529
2026-01-05T09,764.074
2026-01-05T10,1281.002
2026-01-05T11,1354.254
2026-01-05T12,1409.268
2026-01-05T13,1420.497
2026-01-05T14,1495.532
2026-01-05T15,1482.64
2026-01-05T16,1481.749
2026-01-05T17,1528.088
2026-01-05T18,1593.558
2026-01-05T19,1555.298
2026-01-05T20,1511.751
2026-01-05T21,1423.705
2026-01-05T22,995.358
2026-01-05T23,759.678
2026-01-06T00,671.706
2026-01-06T01,638.495
2026-01-06T02,645.387
2026-01-06T03,659.467
2026-01-06T04,627.86
2026-01-06T05,637.069
2026-01-06T06,507.077
2026-01-06T07,407.741
2026-01-06T08,516.82
2026-01-06T09,808.649
2026-01-06T10,1419.28
2026-01-06T11,1510.477
2026-01-06T12,1549.748
2026-01-06T13,1556.877
2026-01-06T14,1561.452
2026-01-06T15,1568.403
2026-01-06T16,1623.656
2026-01-06T17,1600.188
2026-01-06T18,1606.486
2026-01-06T19,1580.286
2026-01-06T20,1537.272
2026-01-06T21,1438.054
2026-01-06T22,1023.66
2026-01-06T23,820.888
2026-01-07T00,714.692
2026-01-07T01,687.261
2026-01-07T02,673.787
2026-01-07T03,669.135
2026-01-07T04,649.404
2026-01-07T05,619.193
2026-01-07T06,410.496
2026-01-07T07,402.636
2026-01-07T08,509.898
2026-01-07T09,781.851
2026-01-07T10,1317.309
2026-01-07T11,1426.176
2026-01-07T12,1454.462
2026-01-07T13,1498.843
2026-01-07T14,1478.951
2026-01-07T15,1513.28
2026-01-07T16,1512.103
2026-01-07T17,1530.23
2026-01-07T18,1486.437
2026-01-07T19,1442.377
2026-01-07T20,1415.588
2026-01-07T21,1331.8
2026-01-07T22,884.783
2026-01-07T23,720.306
2026-01-08T00,657.32
2026-01-08T01,620.961
2026-01-08T02,644.428
2026-01-08T03,622.803
2026-01-08T04,625.595
2026-01-08T05,600.167
2026-01-08T06,513.249
2026-01-08T07,464.117
2026-01-08T08,558.223
2026-01-08T09,773.409
2026-01-08T10,1310.126
2026-01-08T11,1405.48
2026-01-08T12,1568.8
2026-01-08T13,1521.628
2026-01-08T14,1558.997
2026-01-08T15,1587.098
2026-01-08T16,1541.233
2026-01-08T17,1530.302
2026-01-08T18,1501.903
2026-01-08T19,1541.114
2026-01-08T20,1482.298
2026-01-08T21,1446.057
2026-01-08T22,974.693
2026-01-08T23,838.998
2026-01-09T00,737.641
2026-01-09T01,755.88
2026-01-09T02,754.038
2026-01-09T03,743.463
2026-01-09T04,724.63
2026-01-09T05,669.735
2026-01-09T06,448.133
2026-01-09T07,409.338
2026-01-09T08,512.95
2026-01-09T09,810.656
2026-01-09T10,1380.7
2026-01-09T11,1495.362
2026-01-09T12,1535.405
2026-01-09T13,1538.494
2026-01-09T14,1616.084
2026-01-09T15,1662.009
2026-01-09T16,1654.048
2026-01-09T17,1638.363
2026-01-09T18,1648.76
2026-01-09T19,1688.03
2026-01-09T20,1633.551
2026-01-09T21,1479.618
2026-01-09T22,1140.503
2026-01-09T23,835.609
2026-01-10T00,671.184
2026-01-10T01,666.706
2026-01-10T02,634.29
2026-01-10T03,618.382
2026-01-10T04,606.82
2026-01-10T05,601.539
2026-01-10T06,436.45
2026-01-10T07,372.353
2026-01-10T08,477.021
2026-01-10T09,774.248
2026-01-10T10,1410.409
2026-01-10T11,1506.722
2026-01-10T12,1528.11
2026-01-10T13,1556.784
2026-01-10T14,1551.303
2026-01-10T15,1570.419
2026-01-10T16,1561.93
2026-01-10T17,1555.18
2026-01-10T18,1551.437
2026-01-10T19,1641.133
2026-01-10T20,1594.347
2026-01-10T21,1602.1
2026-01-10T22,1167.722
2026-01-10T23,864.412
2026-01-11T00,801.461
2026-01-11T01,758.417
2026-01-11T02,747.656
2026-01-11T03,733.954
2026-01-11T04,718.581
2026-01-11T05,707.954
2026-01-11T06,537.181
2026-01-11T07,375.298
2026-01-11T08,412.862
2026-01-11T09,490.461
2026-01-11T10,748.725
2026-01-11T11,1050.969
2026-01-11T12,1154.435
2026-01-11T13,1434.956
2026-01-11T14,1565.425
2026-01-11T15,1552.325
2026-01-11T16,1544.705
2026-01-11T17,1566.828
2026-01-11T18,1570.037
2026-01-11T19,1554.53
2026-01-11T20,1535.281
2026-01-11T21,1267.125
2026-01-11T22,925.312
2026-01-11T23,774.525
2026-01-12T00,678.226
2026-01-12T01,677.395
2026-01-12T02,667.889
2026-01-12T03,657.849
2026-01-12T04,648.462
2026-01-12T05,641.214
2026-01-12T06,404.583
2026-01-12T07,386.404
2026-01-12T08,476.529
2026-01-12T09,764.074
2026-01-12T10,1281.002
2026-01-12T11,1354.254
2026-01-12T12,1409.268
2026-01-12T13,1420.497
2026-01-12T14,1495.532
2026-01-12T15,1482.64
2026-01-12T16,1481.749
2026-01-12T17,1528.088
2026-01-12T18,1593.558
2026-01-12T19,1555.298
2026-01-12T20,1511.751
