bucket,value
2026-01-01T00,480.671
2026-01-01T01,552.761
2026-01-01T02,661.579
2026-01-01T03,626.675
2026-01-01T04,615.040
2026-01-01T05,613.215
2026-01-01T06,696.711
2026-01-01T07,753.059
2026-01-01T08,790.473
2026-01-01T09,844.996
2026-01-01T10,1139.285
2026-01-01T11,1325.211
2026-01-01T12,1370.153
2026-01-01T13,1442.926
2026-01-01T14,1435.398
2026-01-01T15,1404.144
2026-01-01T16,1411.444
2026-01-01T17,1281.866
2026-01-01T18,1044.382
2026-01-01T19,1055.561
2026-01-01T20,1014.269
2026-01-01T21,953.358
2026-01-01T22,646.066
2026-01-01T23,467.896
2026-01-02T00,408.125
2026-01-02T01,510.556
2026-01-02T02,604.089
2026-01-02T03,633.974
2026-01-02T04,647.206
2026-01-02T05,638.765
2026-01-02T06,657.016
2026-01-02T07,741.880
2026-01-02T08,846.364
2026-01-02T09,790.244
2026-01-02T10,1153.884
2026-01-02T11,1300.115
2026-01-02T12,1381.786
2026-01-02T13,1416.690
2026-01-02T14,1376.995
2026-01-02T15,1358.516
2026-01-02T16,1439.503
2026-01-02T17,1342.091
2026-01-02T18,1073.582
2026-01-02T19,1075.635
2026-01-02T20,1042.784
2026-01-02T21,993.280
2026-01-02T22,709.257
2026-01-02T23,465.614
2026-01-03T00,373.536
2026-01-03T01,449.669
2026-01-03T02,664.666
2026-01-03T03,667.517
2026-01-03T04,678.067
2026-01-03T05,675.501
2026-01-03T06,726.827
2026-01-03T07,782.714
2026-01-03T08,875.671
2026-01-03T09,799.823
2026-01-03T10,1080.402
2026-01-03T11,1199.592
2026-01-03T12,1360.697
2026-01-03T13,1436.259
2026-01-03T14,1405.749
2026-01-03T15,1369.821
2026-01-03T16,1365.259
2026-01-03T17,1340.737
2026-01-03T18,1172.788
2026-01-03T19,1022.519
2026-01-03T20,1014.535
2026-01-03T21,973.474
2026-01-03T22,781.859
2026-01-03T23,548.898
2026-01-04T00,443.108
2026-01-04T01,655.537
2026-01-04T02,668.939
2026-01-04T03,660.100
2026-01-04T04,666.943
2026-01-04T05,644.702
2026-01-04T06,587.674
2026-01-04T07,616.473
2026-01-04T08,657.533
2026-01-04T09,549.465
2026-01-04T10,682.056
2026-01-04T11,914.445
2026-01-04T12,1175.633
2026-01-04T13,1320.770
2026-01-04T14,1275.718
2026-01-04T15,1300.240
2026-01-04T16,1365.537
2026-01-04T17,1314.211
2026-01-04T18,1032.493
2026-01-04T19,997.135
2026-01-04T20,970.047
2026-01-04T21,703.726
2026-01-04T22,599.365
2026-01-04T23,466.489
2026-01-05T00,429.169
2026-01-05T01,497.323
2026-01-05T02,634.486
2026-01-05T03,618.802
2026-01-05T04,556.636
2026-01-05T05,556.351
2026-01-05T06,635.341
2026-01-05T07,669.561
2026-01-05T08,772.219
2026-01-05T09,774.215
2026-01-05T10,1161.180
2026-01-05T11,1239.885
2026-01-05T12,1381.040
2026-01-05T13,1409.271
2026-01-05T14,1390.450
2026-01-05T15,1368.493
2026-01-05T16,1384.177
2026-01-05T17,1296.917
2026-01-05T18,1065.651
2026-01-05T19,1073.350
2026-01-05T20,1029.150
2026-01-05T21,956.719
2026-01-05T22,655.017
2026-01-05T23,420.329
2026-01-06T00,349.609
2026-01-06T01,584.583
2026-01-06T02,658.440
2026-01-06T03,651.596
2026-01-06T04,666.424
2026-01-06T05,664.998
2026-01-06T06,743.418
2026-01-06T07,819.842
2026-01-06T08,903.394
2026-01-06T09,797.029
2026-01-06T10,1170.021
2026-01-06T11,1323.153
2026-01-06T12,1350.528
2026-01-06T13,1414.690
2026-01-06T14,1400.147
2026-01-06T15,1357.658
2026-01-06T16,1343.399
2026-01-06T17,1203.670
2026-01-06T18,1034.284
2026-01-06T19,1034.854
2026-01-06T20,997.498
2026-01-06T21,926.777
2026-01-06T22,592.282
2026-01-06T23,418.618
2026-01-07T00,420.202
2026-01-07T01,543.617
2026-01-07T02,612.282
2026-01-07T03,565.288
2026-01-07T04,591.751
2026-01-07T05,589.698
2026-01-07T06,563.463
2026-01-07T07,623.916
2026-01-07T08,729.993
2026-01-07T09,782.233
2026-01-07T10,980.472
2026-01-07T11,1133.314
2026-01-07T12,1295.966
2026-01-07T13,1345.468
2026-01-07T14,1316.953
2026-01-07T15,1269.504
2026-01-07T16,1246.463
2026-01-07T17,1182.133
2026-01-07T18,982.069
2026-01-07T19,989.369
2026-01-07T20,958.572
2026-01-07T21,872.114
2026-01-07T22,693.265
2026-01-07T23,538.826
2026-01-08T00,480.671
2026-01-08T01,552.761
2026-01-08T02,661.579
2026-01-08T03,626.675
2026-01-08T04,615.040
2026-01-08T05,613.215
2026-01-08T06,696.711
2026-01-08T07,753.059
2026-01-08T08,790.473
2026-01-08T09,844.996
2026-01-08T10,1139.285
2026-01-08T11,1325.211
2026-01-08T12,1370.153
2026-01-08T13,1442.926
2026-01-08T14,1435.398
2026-01-08T15,1404.144
2026-01-08T16,1411.444
2026-01-08T17,1281.866
2026-01-08T18,1044.382
2026-01-08T19,1055.561
2026-01-08T20,1014.269
2026-01-08T21,953.358
2026-01-08T22,646.066
2026-01-08T23,467.896
2026-01-09T00,408.125
2026-01-09T01,510.556
2026-01-09T02,604.089
2026-01-09T03,633.974
2026-01-09T04,647.206
2026-01-09T05,638.765
2026-01-09T06,657.016
2026-01-09T07,741.880
2026-01-09T08,846.364
2026-01-09T09,790.244
2026-01-09T10,1153.884
2026-01-09T11,1300.115
2026-01-09T12,1381.786
2026-01-09T13,1416.690
2026-01-09T14,1376.995
2026-01-09T15,1358.516
2026-01-09T16,1439.503
2026-01-09T17,1342.091
2026-01-09T18,1073.582
2026-01-09T19,1075.635
2026-01-09T20,1042.784
2026-01-09T21,993.280
2026-01-09T22,709.257
2026-01-09T23,465.614
2026-01-10T00,373.552
2026-01-10T01,449.688
2026-01-10T02,664.695
2026-01-10T03,667.546
2026-01-10T04,678.097
2026-01-10T05,675.531
2026-01-10T06,726.858
2026-01-10T07,782.749
2026-01-10T08,875.709
2026-01-10T09,799.858
2026-01-10T10,1080.450
2026-01-10T11,1199.644
