bucket,value
2026-01-01T00,676.679
2026-01-01T01,778.164
2026-01-01T02,931.357
2026-01-01T03,882.219
2026-01-01T04,865.84
2026-01-01T05,863.271
2026-01-01T06,980.815
2026-01-01T07,1060.141
2026-01-01T08,1112.811
2026-01-01T09,1189.567
2026-01-01T10,1603.86
2026-01-01T11,1865.604
2026-01-01T12,1928.872
2026-01-01T13,2031.321
2026-01-01T14,2020.723
2026-01-01T15,1976.724
2026-01-01T16,1987.001
2026-01-01T17,1804.584
2026-01-01T18,1470.259
2026-01-01T19,1485.995
2026-01-01T20,1427.866
2026-01-01T21,1342.117
2026-01-01T22,909.518
2026-01-01T23,658.694
2026-01-02T00,574.55
2026-01-02T01,718.75
2026-01-02T02,850.424
2026-01-02T03,892.496
2026-01-02T04,911.123
2026-01-02T05,899.24
2026-01-02T06,924.933
2026-01-02T07,1044.403
2026-01-02T08,1191.493
2026-01-02T09,1112.489
2026-01-02T10,1624.413
2026-01-02T11,1830.275
2026-01-02T12,1945.249
2026-01-02T13,1994.386
2026-01-02T14,1938.505
2026-01-02T15,1912.491
2026-01-02T16,2026.502
2026-01-02T17,1889.368
2026-01-02T18,1511.366
2026-01-02T19,1514.256
2026-01-02T20,1468.01
2026-01-02T21,1398.318
2026-01-02T22,998.478
2026-01-02T23,655.482
2026-01-03T00,525.867
2026-01-03T01,633.048
2026-01-03T02,935.722
2026-01-03T03,939.737
2026-01-03T04,954.589
2026-01-03T05,950.977
2026-01-03T06,1023.233
2026-01-03T07,1101.912
2026-01-03T08,1232.777
2026-01-03T09,1125.998
2026-01-03T10,1521.0
2026-01-03T11,1688.796
2026-01-03T12,1915.602
2026-01-03T13,2021.979
2026-01-03T14,1979.027
2026-01-03T15,1928.447
2026-01-03T16,1922.024
2026-01-03T17,1887.502
2026-01-03T18,1651.062
2026-01-03T19,1439.511
2026-01-03T20,1428.271
2026-01-03T21,1370.466
2026-01-03T22,1100.708
2026-01-03T23,772.744
2026-01-04T00,623.812
2026-01-04T01,922.873
2026-01-04T02,941.74
2026-01-04T03,929.296
2026-01-04T04,938.93
2026-01-04T05,907.619
2026-01-04T06,827.334
2026-01-04T07,867.878
2026-01-04T08,925.683
2026-01-04T09,773.543
2026-01-04T10,960.206
2026-01-04T11,1287.366
2026-01-04T12,1655.07
2026-01-04T13,1859.395
2026-01-04T14,1795.97
2026-01-04T15,1830.492
2026-01-04T16,1922.418
2026-01-04T17,1850.162
2026-01-04T18,1453.555
2026-01-04T19,1403.779
2026-01-04T20,1365.643
2026-01-04T21,990.714
2026-01-04T22,843.793
2026-01-04T23,656.729
2026-01-05T00,604.176
2026-01-05T01,700.121
2026-01-05T02,893.216
2026-01-05T03,871.137
2026-01-05T04,783.622
2026-01-05T05,783.22
2026-01-05T06,894.421
2026-01-05T07,942.594
2026-01-05T08,1087.115
2026-01-05T09,1089.925
2026-01-05T10,1634.686
2026-01-05T11,1745.485
2026-01-05T12,1944.201
2026-01-05T13,1983.944
2026-01-05T14,1957.449
2026-01-05T15,1926.537
2026-01-05T16,1948.617
2026-01-05T17,1825.774
2026-01-05T18,1500.202
2026-01-05T19,1511.041
2026-01-05T20,1448.817
2026-01-05T21,1346.85
2026-01-05T22,922.12
2026-01-05T23,591.731
2026-01-06T00,492.172
2026-01-06T01,822.964
2026-01-06T02,926.938
2026-01-06T03,917.304
2026-01-06T04,938.179
2026-01-06T05,936.171
2026-01-06T06,1046.569
2026-01-06T07,1154.156
2026-01-06T08,1271.78
2026-01-06T09,1122.041
2026-01-06T10,1647.132
2026-01-06T11,1862.708
2026-01-06T12,1901.247
2026-01-06T13,1991.572
2026-01-06T14,1971.099
2026-01-06T15,1911.283
2026-01-06T16,1891.211
2026-01-06T17,1694.502
2026-01-06T18,1456.044
2026-01-06T19,1456.847
2026-01-06T20,1404.257
2026-01-06T21,1304.699
2026-01-06T22,833.803
2026-01-06T23,589.322
2026-01-07T00,591.558
2026-01-07T01,765.3
2026-01-07T02,861.966
2026-01-07T03,795.809
2026-01-07T04,833.062
2026-01-07T05,830.172
2026-01-07T06,793.24
2026-01-07T07,878.344
2026-01-07T08,1027.679
2026-01-07T09,1101.222
2026-01-07T10,1380.301
2026-01-07T11,1595.471
2026-01-07T12,1824.451
2026-01-07T13,1894.141
2026-01-07T14,1853.997
2026-01-07T15,1787.198
2026-01-07T16,1754.762
2026-01-07T17,1664.198
2026-01-07T18,1382.549
2026-01-07T19,1392.826
2026-01-07T20,1349.471
2026-01-07T21,1227.755
2026-01-07T22,975.974
2026-01-07T23,758.555
2026-01-08T00,676.679
2026-01-08T01,778.164
2026-01-08T02,931.357
2026-01-08T03,882.219
2026-01-08T04,865.84
2026-01-08T05,863.271
2026-01-08T06,980.815
2026-01-08T07,1060.141
2026-01-08T08,1112.811
2026-01-08T09,1189.567
2026-01-08T10,1603.86
2026-01-08T11,1865.604
2026-01-08T12,1928.872
2026-01-08T13,2031.321
2026-01-08T14,2020.723
2026-01-08T15,1976.724
2026-01-08T16,1987.001
2026-01-08T17,1804.584
2026-01-08T18,1470.259
2026-01-08T19,1485.995
2026-01-08T20,1427.866
2026-01-08T21,1342.117
2026-01-08T22,909.518
2026-01-08T23,658.694
2026-01-09T00,574.55
2026-01-09T01,718.75
2026-01-09T02,850.424
2026-01-09T03,892.496
2026-01-09T04,911.123
2026-01-09T05,899.24
2026-01-09T06,924.933
2026-01-09T07,1044.403
2026-01-09T08,1191.493
2026-01-09T09,1112.489
2026-01-09T10,1624.413
2026-01-09T11,1830.275
2026-01-09T12,1945.249
2026-01-09T13,1994.386
2026-01-09T14,1938.505
2026-01-09T15,1912.491
2026-01-09T16,2026.502
2026-01-09T17,1889.368
2026-01-09T18,1511.366
2026-01-09T19,1514.256
2026-01-09T20,1468.01
2026-01-09T21,1398.318
2026-01-09T22,998.478
2026-01-09T23,655.482
2026-01-10T00,525.884
2026-01-10T01,633.067
2026-01-10T02,935.752
2026-01-10T03,939.766
2026-01-10T04,954.619
2026-01-10T05,951.006
2026-01-10T06,1023.265
2026-01-10T07,1101.947
2026-01-10T08,1232.816
2026-01-10T09,1126.033
2026-01-10T10,1521.048
2026-01-10T11,1688.849
2026-01-10T12,1915.661
2026-01-10T13,2022.042
2026-01-10T14,1979.088
2026-01-10T15,1928.507
2026-01-10T16,1922.084
2026-01-10T17,1887.561
2026-01-10T18,1651.114
2026-01-10T19,1439.556
2026-01-10T20,1428.316
2026-01-10T21,1370.509
2026-01-10T22,1100.743
2026-01-10T23,772.768
2026-01-11T00,623.812
2026-01-11T01,922.873
2026-01-11T02,941.74
2026-01-11T03,929.296
2026-01-11T04,938.93
2026-01-11T05,907.619
2026-01-11T06,827.334
2026-01-11T07,867.878
2026-01-11T08,925.683
2026-01-11T09,773.543
2026-01-11T10,960.206
2026-01-11T11,1287.366
2026-01-11T12,1655.07
2026-01-11T13,1859.395
2026-01-11T14,1795.97
2026-01-11T15,1830.492
2026-01-11T16,1922.418
2026-01-11T17,1850.162
2026-01-11T18,1453.555
2026-01-11T19,1403.779
2026-01-11T20,1365.643
2026-01-11T21,990.714
2026-01-11T22,843.793
2026-01-11T23,656.729
2026-01-12T00,604.176
2026-01-12T01,700.121
2026-01-12T02,893.216
2026-01-12T03,871.137
2026-01-12T04,783.622
2026-01-12T05,783.22
2026-01-12T06,894.421
2026-01-12T07,942.594
2026-01-12T08,1087.115
2026-01-12T09,1089.925
2026-01-12T10,1634.686
2026-01-12T11,1745.485
2026-01-12T12,1944.201
2026-01-12T13,1983.944
2026-01-12T14,1957.449
2026-01-12T15,1926.537
2026-01-12T16,1948.617
2026-01-12T17,1825.774
2026-01-12T18,1500.202
2026-01-12T19,1511.041
2026-01-12T20,1448.817
2026-01-12T21,1346.85
2026-01-12T22,922.12
2026-01-12T23,591.731
2026-01-13T00,492.172
2026-01-13T01,822.964
2026-01-13T02,926.938
2026-01-13T03,917.304
2026-01-13T04,938.179
2026-01-13T05,936.171
2026-01-13T06,1046.569
2026-01-13T07,1154.156
2026-01-13T08,1271.78
2026-01-13T09,1122.041
2026-01-13T10,1647.132
2026-01-13T11,1862.708
2026-01-13T12,1901.247
2026-01-13T13,1991.572
2026-01-13T14,1971.099
2026-01-13T15,1911.283
2026-01-13T16,1891.211
2026-01-13T17,1694.502
2026-01-13T18,1456.044
2026-01-13T19,1456.847
2026-01-13T20,1404.257
2026-01-13T21,1304.699
2026-01-13T22,833.803
2026-01-13T23,589.322
2026-01-14T00,591.558
2026-01-14T01,765.3
2026-01-14T02,861.966
2026-01-14T03,795.809
2026-01-14T04,833.062
2026-01-14T05,830.172
2026-01-14T06,793.24
2026-01-14T07,878.344
2026-01-14T08,1027.679
2026-01-14T09,1101.222
2026-01-14T10,1380.301
2026-01-14T11,1595.471
2026-01-14T12,1824.451
2026-01-14T13,1894.141
2026-01-14T14,1853.997
2026-01-14T15,1787.198
2026-01-14T16,1754.762
2026-01-14T17,1664.198
2026-01-14T18,1382.549
2026-01-14T19,1392.826
2026-01-14T20,1349.471
2026-01-14T21,1227.755
2026-01-14T22,975.974
2026-01-14T23,758.555
2026-01-15T00,676.679
2026-01-15T01,778.164
2026-01-15T02,931.357
2026-01-15T03,882.219
2026-01-15T04,865.84
2026-01-15T05,863.271
2026-01-15T06,980.815
2026-01-15T07,1060.141
2026-01-15T08,1112.811
2026-01-15T09,1189.567
2026-01-15T10,1603.86
2026-01-15T11,1865.604
2026-01-15T12,1928.872
2026-01-15T13,2031.321
2026-01-15T14,2020.723
2026-01-15T15,1976.724
2026-01-15T16,1987.001
2026-01-15T17,1804.584
2026-01-15T18,1470.259
2026-01-15T19,1485.995
2026-01-15T20,1427.866
2026-01-15T21,1342.117
2026-01-15T22,909.518
2026-01-15T23,658.694
2026-01-16T00,574.55
2026-01-16T01,718.75
2026-01-16T02,850.424
2026-01-16T03,892.496
2026-01-16T04,911.123
2026-01-16T05,899.24
2026-01-16T06,924.933
2026-01-16T07,1044.403
2026-01-16T08,1191.493
2026-01-16T09,1112.489
2026-01-16T10,1624.413
2026-01-16T11,1830.275
2026-01-16T12,1945.249
2026-01-16T13,1994.386
2026-01-16T14,1938.505
2026-01-16T15,1912.491
2026-01-16T16,2026.502
2026-01-16T17,1889.368
2026-01-16T18,1511.366
2026-01-16T19,1514.256
2026-01-16T20,1468.01
2026-01-16T21,1398.318
2026-01-16T22,998.478
2026-01-16T23,655.482
2026-01-17T00,525.884
2026-01-17T01,633.067
2026-01-17T02,935.752
2026-01-17T03,939.766
2026-01-17T04,954.619
2026-01-17T05,951.006
2026-01-17T06,1023.265
2026-01-17T07,1101.947
2026-01-17T08,1232.816
2026-01-17T09,1126.033
2026-01-17T10,1521.048
2026-01-17T11,1688.849
2026-01-17T12,1915.661
2026-01-17T13,2022.042
2026-01-17T14,1979.088
2026-01-17T15,1928.507
2026-01-17T16,1922.084
2026-01-17T17,1887.561
2026-01-17T18,1651.114
2026-01-17T19,1439.556
2026-01-17T20,1428.316
2026-01-17T21,1370.509
2026-01-17T22,1100.743
2026-01-17T23,772.768
2026-01-18T00,623.812
2026-01-18T01,922.873
2026-01-18T02,941.74
2026-01-18T03,929.296
2026-01-18T04,938.93
2026-01-18T05,907.619
2026-01-18T06,827.334
2026-01-18T07,867.878
2026-01-18T08,925.683
2026-01-18T09,773.543
2026-01-18T10,960.206
2026-01-18T11,1287.366
2026-01-18T12,1655.07
2026-01-18T13,1859.395
2026-01-18T14,1795.97
2026-01-18T15,1830.492
2026-01-18T16,1922.418
2026-01-18T17,1850.162
2026-01-18T18,1453.555
2026-01-18T19,1403.779
2026-01-18T20,1365.643
2026-01-18T21,990.714
2026-01-18T22,843.793
2026-01-18T23,656.729
2026-01-19T00,604.176
2026-01-19T01,700.121
2026-01-19T02,893.216
2026-01-19T03,871.137
2026-01-19T04,783.622
2026-01-19T05,783.22
2026-01-19T06,894.421
2026-01-19T07,942.594
2026-01-19T08,1087.115
2026-01-19T09,1089.925
2026-01-19T10,1634.686
2026-01-19T11,1745.485
2026-01-19T12,1944.201
2026-01-19T13,1983.944
2026-01-19T14,1957.449
2026-01-19T15,1926.537
2026-01-19T16,1948.617
2026-01-19T17,1825.774
2026-01-19T18,1500.202
2026-01-19T19,1511.041
2026-01-19T20,1448.817
2026-01-19T21,1346.85
2026-01-19T22,922.12
2026-01-19T23,591.731
2026-01-20T00,492.172
2026-01-20T01,822.964
2026-01-20T02,926.938
2026-01-20T03,917.304
2026-01-20T04,938.179
2026-01-20T05,936.171
2026-01-20T06,1046.569
2026-01-20T07,1154.156
2026-01-20T08,1271.78
2026-01-20T09,1122.041
2026-01-20T10,1647.132
2026-01-20T11,1862.708
2026-01-20T12,1901.247
2026-01-20T13,1991.572
2026-01-20T14,1971.099
2026-01-20T15,1911.283
2026-01-20T16,1891.211
2026-01-20T17,1694.502
2026-01-20T18,1456.044
2026-01-20T19,1456.847
2026-01-20T20,1404.257
2026-01-20T21,1304.699
2026-01-20T22,833.803
2026-01-20T23,589.322
2026-01-21T00,591.558
2026-01-21T01,765.3
2026-01-21T02,861.966
2026-01-21T03,795.809
2026-01-21T04,833.062
2026-01-21T05,830.172
2026-01-21T06,793.24
2026-01-21T07,878.344
2026-01-21T08,1027.679
2026-01-21T09,1101.222
2026-01-21T10,1380.301
2026-01-21T11,1595.471
2026-01-21T12,1824.451
2026-01-21T13,1894.141
2026-01-21T14,1853.997
2026-01-21T15,1787.198
2026-01-21T16,1754.762
2026-01-21T17,1664.198
2026-01-21T18,1382.549
2026-01-21T19,1392.826
2026-01-21T20,1349.471
2026-01-21T21,1227.755
2026-01-21T22,975.974
2026-01-21T23,758.555
2026-01-22T00,676.679
2026-01-22T01,778.164
2026-01-22T02,931.357
2026-01-22T03,882.219
2026-01-22T04,865.84
2026-01-22T05,863.271
2026-01-22T06,980.815
2026-01-22T07,1060.141
2026-01-22T08,1112.811
2026-01-22T09,1189.567
2026-01-22T10,1603.86
2026-01-22T11,1865.604
2026-01-22T12,1928.872
2026-01-22T13,2031.321
