bucket,value
2026-01-01T00,280.377
2026-01-01T01,274.895
2026-01-01T02,270.51
2026-01-01T03,267.619
2026-01-01T04,274.696
2026-01-01T05,272.902
2026-01-01T06,275.394
2026-01-01T07,271.706
2026-01-01T08,272.204
2026-01-01T09,273.5
2026-01-01T10,315.561
2026-01-01T11,838.54
2026-01-01T12,1162.673
2026-01-01T13,1121.907
2026-01-01T14,1127.19
2026-01-01T15,1146.925
2026-01-01T16,1173.139
2026-01-01T17,1172.84
2026-01-01T18,1180.215
2026-01-01T19,1099.88
2026-01-01T20,884.987
2026-01-01T21,981.669
2026-01-01T22,456.996
2026-01-01T23,341.675
2026-01-02T00,312.159
2026-01-02T01,290.531
2026-01-02T02,289.834
2026-01-02T03,283.854
2026-01-02T04,271.096
2026-01-02T05,267.408
2026-01-02T06,312.757
2026-01-02T07,351.129
2026-01-02T08,539.202
2026-01-02T09,1097.042
2026-01-02T10,2211.426
2026-01-02T11,2184.915
2026-01-02T12,2201.46
2026-01-02T13,2187.905
2026-01-02T14,2178.038
2026-01-02T15,2151.526
2026-01-02T16,2163.486
2026-01-02T17,2105.38
2026-01-02T18,1786.344
2026-01-02T19,1812.756
2026-01-02T20,1792.822
2026-01-02T21,1716.078
2026-01-02T22,724.285
2026-01-02T23,369.568
2026-01-03T00,324.623
2026-01-03T01,288.642
2026-01-03T02,282.363
2026-01-03T03,282.263
2026-01-03T04,281.067
2026-01-03T05,281.267
2026-01-03T06,336.583
2026-01-03T07,350.437
2026-01-03T08,392.498
2026-01-03T09,475.323
2026-01-03T10,549.576
2026-01-03T11,1254.138
2026-01-03T12,2235.681
2026-01-03T13,2131.328
2026-01-03T14,2104.118
2026-01-03T15,2055.978
2026-01-03T16,1953.617
2026-01-03T17,1634.476
2026-01-03T18,1706.039
2026-01-03T19,1675.44
2026-01-03T20,1633.48
2026-01-03T21,1597.001
2026-01-03T22,763.965
2026-01-03T23,363.095
2026-01-04T00,327.706
2026-01-04T01,299.998
2026-01-04T02,287.54
2026-01-04T03,279.068
2026-01-04T04,276.876
2026-01-04T05,276.975
2026-01-04T06,324.616
2026-01-04T07,352.523
2026-01-04T08,439.831
2026-01-04T09,983.915
2026-01-04T10,2148.028
2026-01-04T11,2104.673
2026-01-04T12,2113.543
2026-01-04T13,2062.912
2026-01-04T14,2026.633
2026-01-04T15,2021.251
2026-01-04T16,2032.215
2026-01-04T17,2022.148
2026-01-04T18,2056.932
2026-01-04T19,2079.756
2026-01-04T20,2057.929
2026-01-04T21,1973.71
2026-01-04T22,900.394
2026-01-04T23,381.825
2026-01-05T00,321.329
2026-01-05T01,279.569
2026-01-05T02,277.276
2026-01-05T03,280.565
2026-01-05T04,283.256
2026-01-05T05,274.784
2026-01-05T06,324.419
2026-01-05T07,330.399
2026-01-05T08,355.017
2026-01-05T09,391.695
2026-01-05T10,439.835
2026-01-05T11,1127.145
2026-01-05T12,2128.209
2026-01-05T13,2037.312
2026-01-05T14,2013.89
2026-01-05T15,1971.033
2026-01-05T16,1981.797
2026-01-05T17,1676.514
2026-01-05T18,1713.391
2026-01-05T19,1736.913
2026-01-05T20,1722.561
2026-01-05T21,1647.311
2026-01-05T22,808.407
2026-01-05T23,368.373
2026-01-06T00,312.262
2026-01-06T01,287.146
2026-01-06T02,281.564
2026-01-06T03,277.577
2026-01-06T04,282.66
2026-01-06T05,275.883
2026-01-06T06,324.621
2026-01-06T07,383.924
2026-01-06T08,530.337
2026-01-06T09,1125.06
2026-01-06T10,2255.702
2026-01-06T11,2196.599
2026-01-06T12,2160.917
2026-01-06T13,2150.552
2026-01-06T14,2124.638
2026-01-06T15,2104.007
2026-01-06T16,2095.535
2026-01-06T17,2054.471
2026-01-06T18,1745.598
2026-01-06T19,1720.382
2026-01-06T20,1718.388
2026-01-06T21,1653.305
2026-01-06T22,807.915
2026-01-06T23,433.958
2026-01-07T00,345.158
2026-01-07T01,289.841
2026-01-07T02,280.272
2026-01-07T03,283.362
2026-01-07T04,277.98
2026-01-07T05,274.89
2026-01-07T06,332.798
2026-01-07T07,392.301
2026-01-07T08,557.554
2026-01-07T09,1203.317
2026-01-07T10,1877.984
2026-01-07T11,2248.956
2026-01-07T12,2225.533
2026-01-07T13,2181.579
2026-01-07T14,2184.569
2026-01-07T15,2169.519
2026-01-07T16,2141.412
2026-01-07T17,1727.582
2026-01-07T18,1716.518
2026-01-07T19,1707.548
2026-01-07T20,1690.006
2026-01-07T21,1640.57
2026-01-07T22,746.529
2026-01-07T23,356.221
2026-01-08T00,325.516
2026-01-08T01,301.895
2026-01-08T02,275.981
2026-01-08T03,272.592
2026-01-08T04,268.406
2026-01-08T05,271.396
2026-01-08T06,325.416
2026-01-08T07,408.639
2026-01-08T08,537.112
2026-01-08T09,1020.004
2026-01-08T10,2233.164
2026-01-08T11,2157.217
2026-01-08T12,2182.732
2026-01-08T13,2157.715
2026-01-08T14,2186.818
2026-01-08T15,2105.29
2026-01-08T16,2022.466
2026-01-08T17,2009.11
2026-01-08T18,1983.695
2026-01-08T19,2012.1
2026-01-08T20,1697.348
2026-01-08T21,1673.826
2026-01-08T22,794.654
2026-01-08T23,387.908
2026-01-09T00,361.998
2026-01-09T01,319.938
2026-01-09T02,297.711
2026-01-09T03,292.927
2026-01-09T04,292.828
2026-01-09T05,299.406
2026-01-09T06,356.018
2026-01-09T07,434.158
2026-01-09T08,562.233
2026-01-09T09,1260.016
2026-01-09T10,2162.619
2026-01-09T11,2204.082
