bucket,value
2026-01-01T00,1918.048
2026-01-01T01,1905.075
2026-01-01T02,1883.612
2026-01-01T03,1788.991
2026-01-01T04,1599.874
2026-01-01T05,1450.964
2026-01-01T06,1469.619
2026-01-01T07,1519.684
2026-01-01T08,1619.627
2026-01-01T09,1758.546
2026-01-01T10,1613.928
2026-01-01T11,1360.835
2026-01-01T12,1954.966
2026-01-01T13,1957.574
2026-01-01T14,1920.569
2026-01-01T15,1894.587
2026-01-01T16,1829.437
2026-01-01T17,1439.76
2026-01-01T18,1459.688
2026-01-01T19,1462.029
2026-01-01T20,1409.395
2026-01-01T21,1183.116
2026-01-01T22,853.799
2026-01-01T23,1594.276
2026-01-02T00,1570.928
2026-01-02T01,1456.953
2026-01-02T02,1447.053
2026-01-02T03,1431.293
2026-01-02T04,1455.715
2026-01-02T05,1474.292
2026-01-02T06,1495.339
2026-01-02T07,1671.085
2026-01-02T08,1907.797
2026-01-02T09,2018.119
2026-01-02T10,2527.321
2026-01-02T11,2479.263
2026-01-02T12,2226.02
2026-01-02T13,2608.532
2026-01-02T14,2662.756
2026-01-02T15,2590.245
2026-01-02T16,2480.559
2026-01-02T17,2176.056
2026-01-02T18,2219.607
2026-01-02T19,2164.048
2026-01-02T20,2158.963
2026-01-02T21,1852.206
2026-01-02T22,1028.349
2026-01-02T23,1683.503
2026-01-03T00,1548.572
2026-01-03T01,1453.94
2026-01-03T02,1431.94
2026-01-03T03,1410.114
2026-01-03T04,1414.538
2026-01-03T05,1400.621
2026-01-03T06,1445.098
2026-01-03T07,1631.848
2026-01-03T08,1994.261
2026-01-03T09,2176.186
2026-01-03T10,2604.162
2026-01-03T11,2709.311
2026-01-03T12,2744.434
2026-01-03T13,2721.703
2026-01-03T14,2344.423
2026-01-03T15,2564.746
2026-01-03T16,2505.217
2026-01-03T17,2122.038
2026-01-03T18,2137.592
2026-01-03T19,2063.322
2026-01-03T20,2132.645
2026-01-03T21,1800.676
2026-01-03T22,1090.954
2026-01-03T23,1736.657
2026-01-04T00,1605.796
2026-01-04T01,1472.644
2026-01-04T02,1434.769
2026-01-04T03,1420.808
2026-01-04T04,1436.172
2026-01-04T05,1425.632
2026-01-04T06,1432.868
2026-01-04T07,1521.007
2026-01-04T08,1865.223
2026-01-04T09,1989.103
2026-01-04T10,2479.133
2026-01-04T11,2606.859
2026-01-04T12,2689.046
2026-01-04T13,2618.26
2026-01-04T14,2648.222
2026-01-04T15,2664.395
2026-01-04T16,2545.447
2026-01-04T17,2194.95
2026-01-04T18,2204.519
2026-01-04T19,2242.812
2026-01-04T20,2199.981
2026-01-04T21,1834.31
2026-01-04T22,1045.149
2026-01-04T23,1662.894
2026-01-05T00,1559.567
2026-01-05T01,1478.984
2026-01-05T02,1427.635
2026-01-05T03,1427.827
2026-01-05T04,1412.878
2026-01-05T05,1412.661
2026-01-05T06,1427.419
2026-01-05T07,1515.323
2026-01-05T08,1630.026
2026-01-05T09,1887.76
2026-01-05T10,1859.551
2026-01-05T11,1602.0
2026-01-05T12,2222.288
2026-01-05T13,2501.3
2026-01-05T14,2670.509
2026-01-05T15,2652.211
2026-01-05T16,2579.676
2026-01-05T17,2177.257
2026-01-05T18,2205.364
2026-01-05T19,2183.907
2026-01-05T20,1946.053
2026-01-05T21,1445.969
2026-01-05T22,948.479
2026-01-05T23,1539.355
2026-01-06T00,1527.184
2026-01-06T01,1476.976
2026-01-06T02,1440.635
2026-01-06T03,1464.075
2026-01-06T04,1465.302
2026-01-06T05,1467.351
2026-01-06T06,1463.337
2026-01-06T07,1625.238
2026-01-06T08,2437.202
2026-01-06T09,2189.758
2026-01-06T10,2544.811
2026-01-06T11,2669.29
2026-01-06T12,2751.934
2026-01-06T13,2716.491
2026-01-06T14,2643.332
2026-01-06T15,2629.39
2026-01-06T16,2535.821
2026-01-06T17,2186.166
2026-01-06T18,2141.083
2026-01-06T19,2175.042
2026-01-06T20,2112.764
2026-01-06T21,1770.725
2026-01-06T22,1010.397
2026-01-06T23,1621.696
2026-01-07T00,1564.723
2026-01-07T01,1519.366
2026-01-07T02,1474.583
2026-01-07T03,1449.741
2026-01-07T04,1447.181
2026-01-07T05,1434.281
2026-01-07T06,1458.951
2026-01-07T07,1740.279
2026-01-07T08,2410.194
2026-01-07T09,2179.938
2026-01-07T10,2603.844
2026-01-07T11,2698.92
2026-01-07T12,2676.188
2026-01-07T13,2626.857
2026-01-07T14,2609.342
2026-01-07T15,2607.333
2026-01-07T16,2423.298
2026-01-07T17,2082.538
2026-01-07T18,2082.806
2026-01-07T19,2108.53
2026-01-07T20,2086.586
2026-01-07T21,1715.321
2026-01-07T22,986.695
2026-01-07T23,1387.503
2026-01-08T00,1380.719
2026-01-08T01,1515.147
2026-01-08T02,1467.587
2026-01-08T03,1414.65
2026-01-08T04,1430.06
2026-01-08T05,1423.157
2026-01-08T06,1404.974
2026-01-08T07,1663.49
2026-01-08T08,2312.601
2026-01-08T09,2128.462
2026-01-08T10,2539.454
2026-01-08T11,2578.32
2026-01-08T12,2591.118
2026-01-08T13,2617.693
2026-01-08T14,2611.98
2026-01-08T15,2596.576
2026-01-08T16,2493.49
2026-01-08T17,2108.878
2026-01-08T18,2176.765
2026-01-08T19,2192.379
2026-01-08T20,2116.54
2026-01-08T21,1784.585
2026-01-08T22,1101.171
2026-01-08T23,1678.204
2026-01-09T00,1573.11
2026-01-09T01,1478.728
2026-01-09T02,1439.353
2026-01-09T03,1421.582
2026-01-09T04,1429.915
2026-01-09T05,1458.072
2026-01-09T06,1454.166
2026-01-09T07,1631.008
2026-01-09T08,1946.398
2026-01-09T09,2027.269
2026-01-09T10,2556.06
2026-01-09T11,2598.129
2026-01-09T12,2645.296
2026-01-09T13,2650.098
2026-01-09T14,2663.595
2026-01-09T15,2669.179
2026-01-09T16,2298.887
2026-01-09T17,2177.436
2026-01-09T18,2165.231
2026-01-09T19,2180.43
2026-01-09T20,2104.586
2026-01-09T21,1813.06
2026-01-09T22,1043.765
2026-01-09T23,1588.647
2026-01-10T00,1604.856
2026-01-10T01,1522.154
2026-01-10T02,1471.729
2026-01-10T03,1462.084
2026-01-10T04,1464.411
2026-01-10T05,1454.212
2026-01-10T06,1477.389
2026-01-10T07,2078.85
2026-01-10T08,2389.764
2026-01-10T09,2184.807
2026-01-10T10,2532.82
2026-01-10T11,2645.286
2026-01-10T12,2683.704
2026-01-10T13,2689.995
2026-01-10T14,2690.595
2026-01-10T15,2675.241
2026-01-10T16,2575.405
2026-01-10T17,2192.583
2026-01-10T18,2180.32
2026-01-10T19,2143.088
2026-01-10T20,2127.652
2026-01-10T21,1835.91
2026-01-10T22,1128.064
2026-01-10T23,1383.082
2026-01-11T00,1163.946
2026-01-11T01,1085.205
2026-01-11T02,1877.52
2026-01-11T03,1863.163
2026-01-11T04,1874.78
2026-01-11T05,1855.5
2026-01-11T06,1880.334
2026-01-11T07,2031.632
2026-01-11T08,2319.301
2026-01-11T09,2129.66
2026-01-11T10,2483.61
2026-01-11T11,2601.643
2026-01-11T12,2623.059
2026-01-11T13,2636.481
2026-01-11T14,2617.676
2026-01-11T15,2625.343
2026-01-11T16,2519.752
2026-01-11T17,2128.727
2026-01-11T18,2205.493
2026-01-11T19,2201.07
2026-01-11T20,2258.575
2026-01-11T21,1877.981
2026-01-11T22,1139.705
2026-01-11T23,1818.844
2026-01-12T00,1642.018
2026-01-12T01,1424.652
2026-01-12T02,1464.348
2026-01-12T03,1270.848
2026-01-12T04,1753.645
2026-01-12T05,1910.531
2026-01-12T06,1688.803
2026-01-12T07,1598.461
2026-01-12T08,2090.619
2026-01-12T09,2082.277
2026-01-12T10,2103.453
2026-01-12T11,1833.359
2026-01-12T12,2112.599
2026-01-12T13,2491.252
2026-01-12T14,2620.201
2026-01-12T15,2590.538
2026-01-12T16,2488.963
2026-01-12T17,2110.726
2026-01-12T18,2140.294
2026-01-12T19,2060.939
2026-01-12T20,1952.28
2026-01-12T21,1363.441
2026-01-12T22,911.642
2026-01-12T23,1601.112
2026-01-13T00,1553.599
2026-01-13T01,1494.467
2026-01-13T02,1440.32
2026-01-13T03,1450.706
2026-01-13T04,1442.185
2026-01-13T05,1473.209
2026-01-13T06,1457.957
2026-01-13T07,1645.467
2026-01-13T08,1821.7
2026-01-13T09,1982.194
2026-01-13T10,2566.052
2026-01-13T11,2629.901
2026-01-13T12,2581.171
2026-01-13T13,2573.333
2026-01-13T14,2560.864
2026-01-13T15,2585.343
2026-01-13T16,2474.494
2026-01-13T17,2090.087
2026-01-13T18,2157.78
2026-01-13T19,2126.55
2026-01-13T20,2124.339
2026-01-13T21,1731.882
2026-01-13T22,1012.625
2026-01-13T23,1528.774
2026-01-14T00,629.254
2026-01-14T01,143.498
2026-01-14T02,1704.432
2026-01-14T03,1879.14
2026-01-14T04,1879.813
2026-01-14T05,1865.379
2026-01-14T06,1872.952
2026-01-14T07,2004.233
2026-01-14T08,2365.262
2026-01-14T09,2055.375
2026-01-14T10,2384.422
2026-01-14T11,2478.689
2026-01-14T12,2516.009
2026-01-14T13,2511.196
2026-01-14T14,2485.267
2026-01-14T15,2470.297
2026-01-14T16,2390.936
2026-01-14T17,2057.362
2026-01-14T18,2049.157
2026-01-14T19,2016.28
2026-01-14T20,1978.623
2026-01-14T21,1647.13
2026-01-14T22,920.299
2026-01-14T23,1610.994
2026-01-15T00,1558.718
2026-01-15T01,1468.092
2026-01-15T02,1444.133
2026-01-15T03,1441.239
2026-01-15T04,1442.258
2026-01-15T05,1459.42
2026-01-15T06,1449.255
2026-01-15T07,1627.992
2026-01-15T08,1850.713
2026-01-15T09,1893.889
2026-01-15T10,2441.603
2026-01-15T11,2463.744
2026-01-15T12,2465.146
2026-01-15T13,2458.433
2026-01-15T14,2474.57
2026-01-15T15,2454.878
2026-01-15T16,2352.323
2026-01-15T17,1996.697
2026-01-15T18,2033.382
2026-01-15T19,2046.644
2026-01-15T20,2004.562
2026-01-15T21,1628.42
2026-01-15T22,925.958
2026-01-15T23,1589.932
2026-01-16T00,1538.101
2026-01-16T01,1489.887
2026-01-16T02,1581.373
2026-01-16T03,1938.591
2026-01-16T04,1912.41
2026-01-16T05,1890.335
2026-01-16T06,1778.74
2026-01-16T07,1398.293
2026-01-16T08,1679.132
2026-01-16T09,1927.82
2026-01-16T10,2439.919
2026-01-16T11,2450.826
2026-01-16T12,2418.285
2026-01-16T13,2450.181
2026-01-16T14,2462.737
2026-01-16T15,2438.765
2026-01-16T16,2387.191
2026-01-16T17,2027.395
2026-01-16T18,2026.686
2026-01-16T19,2020.155
2026-01-16T20,1981.596
2026-01-16T21,1661.091
2026-01-16T22,986.626
2026-01-16T23,1658.862
2026-01-17T00,1588.986
2026-01-17T01,1519.956
2026-01-17T02,1450.176
2026-01-17T03,1447.479
2026-01-17T04,1444.987
2026-01-17T05,1455.385
2026-01-17T06,1471.964
2026-01-17T07,1567.568
2026-01-17T08,1657.58
2026-01-17T09,1921.809
2026-01-17T10,2459.56
2026-01-17T11,2480.225
2026-01-17T12,2511.213
2026-01-17T13,2566.015
2026-01-17T14,2583.369
2026-01-17T15,2618.921
2026-01-17T16,2471.53
2026-01-17T17,2111.404
2026-01-17T18,2136.954
2026-01-17T19,2119.558
2026-01-17T20,2046.657
2026-01-17T21,1702.817
2026-01-17T22,1056.323
2026-01-17T23,1745.566
2026-01-18T00,1602.49
2026-01-18T01,1540.86
2026-01-18T02,1482.09
2026-01-18T03,1458.505
2026-01-18T04,1458.536
2026-01-18T05,1439.857
2026-01-18T06,1444.028
2026-01-18T07,1573.097
2026-01-18T08,1847.292
2026-01-18T09,1944.077
2026-01-18T10,2397.719
2026-01-18T11,2508.022
