tbId|deviceName|label|identifier|deviceType|deviceProfile|slaveId|centralId|gcdrCustomerId|gcdrAssetId|gcdrDeviceId|gcdrSyncAt
315ad160-a93d-11f0-afe1-175479a33d89|3F MOTR. SCMSAC-AR4_L1|Casa de Máquina AR 4 L1|CAG|MOTOR|FANCOIL|139|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||03a7c0f2-8b26-4679-8fd5-390cc0d40009|
e1f49760-b02f-11f0-9722-210aa9448abc|3F MOTR. SCMSAC-AR3_L1|Casa de Máquina AR 3 L1|CAG|MOTOR|FANCOIL|138|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||aeaf50c8-77cb-470b-a4ee-aa29d5a60625|
2f8240d0-a93d-11f0-afe1-175479a33d89|3F MOTR. SCMSAC-AR2_L1|Casa de Máquina AR 2 L1|CAG|MOTOR|FANCOIL|137|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||74f8f624-acc5-439e-a709-35983fcf51cd|
9e6a38e0-b027-11f0-9722-210aa9448abc|3F SCMSROOFTOP 04|ROOFTOP 4|CAG|FANCOIL|FANCOIL|161|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||2bbc95ee-d240-4d56-9f2a-9f0f3c0facd6|
69ebee30-b02a-11f0-9722-210aa9448abc|3F SCMSROOFTOP 08|ROOFTOP 8|CAG|FANCOIL|FANCOIL|167|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||17351384-27ac-430d-90c8-a75368421789|
041d4460-b029-11f0-9722-210aa9448abc|3F SCMSROOFTOP 06|ROOFTOP 6|CAG|FANCOIL|FANCOIL|164|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||9598a6eb-6ab7-404c-bf92-c89dbcff926f|
1d25aa70-b02d-11f0-9722-210aa9448abc|3F SCMSROOFTOP 09|ROOFTOP 9|CAG|FANCOIL|FANCOIL|168|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||d1ac07d3-0f64-4700-91b9-04511fa61e77|
2a0b7ae0-a93d-11f0-afe1-175479a33d89|3F ESRL. SCMSAC-ER4_L2|Escada Rolante 4 L3|ESCADASROLANTES|ESCADA_ROLANTE|ESCADA_ROLANTE|131|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||fc878f1e-5768-4e24-9ddc-0ddb3f796608|
2927f8b0-a93d-11f0-afe1-175479a33d89|3F ESRL. SCMSAC-ER3_L2|Escada Rolante 3 L2|ESCADASROLANTES|ESCADA_ROLANTE|ESCADA_ROLANTE|130|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||254c1e85-1d43-40fa-a67b-b3ab1e833a32|
27529c70-a93d-11f0-afe1-175479a33d89|3F ESRL. SCMSAC-ER1_L1|Escada Rolante 1 L1|ESCADASROLANTES|ESCADA_ROLANTE|ESCADA_ROLANTE|128|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||33bd6d81-6c07-4a71-b3af-b9450d4dfb70|
2bd9d240-a93d-11f0-afe1-175479a33d89|3F ELEV. SCMSAC-ES2_L3|Elevador Social 1|ELEVADORES|ELEVADOR|ELEVADOR|133|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||d0b6062d-9a71-4406-aaa0-9254875d77a5|
283e8310-a93d-11f0-afe1-175479a33d89|3F ESRL. SCMSAC-ER2_L1|Escada Rolante 2 L1|ESCADASROLANTES|ESCADA_ROLANTE|ESCADA_ROLANTE|129|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||3455f575-6e8d-4a37-a8ba-5bc2ef529e30|
2cc3e420-a93d-11f0-afe1-175479a33d89|3F ELEV. SCMSAC-ED1_L3|Elevador Doca 1 L3|ELEVADORES|ELEVADOR|ELEVADOR|134|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||16c21d00-ecde-4873-a80f-82ef2111d3d1|
2e9e2260-a93d-11f0-afe1-175479a33d89|3F MOTR. SCMSAC-AR1_L1|Casa de Máquina AR 1 L1|CAG|MOTOR|FANCOIL|136|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||4031d609-b1d1-4384-9db7-5e27a3cb280f|
2af42d30-a93d-11f0-afe1-175479a33d89|3F ELEV. SCMSAC-ES1_L3|Elevador Social 2|ELEVADORES|ELEVADOR|ELEVADOR|132|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||bc90be84-ad7f-4a9f-b841-dd11d4e78d80|
2dae6b30-a93d-11f0-afe1-175479a33d89|3F ELEV. SCMSAC-ED2_L3|Elevador Doca 2 L3|ELEVADORES|ELEVADOR|ELEVADOR|135|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||cf3cac95-b840-4b47-88e1-80472dc204e8|
38db0910-b026-11f0-9722-210aa9448abc|3F SCMSROOFTOP 03|ROOFTOP 3|CAG|FANCOIL|FANCOIL|160|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||a3327860-01a1-4b53-aa19-d7e52f5474b4|
332928c0-a93d-11f0-afe1-175479a33d89|3F MOTR. SCMSAC-AR6_L2|Casa de Máquina AR 6 L1|CAG|MOTOR|FANCOIL|141|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||e7e53b2e-ad89-48d2-a0d7-69f253c8a2dd|
041ca820-b029-11f0-9722-210aa9448abc|3F SCMSROOFTOP 05|ROOFTOP 5|CAG|FANCOIL|FANCOIL|163|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||7e6af7f3-cafe-41ef-8f35-66cc650c02c7|
3246df10-a93d-11f0-afe1-175479a33d89|3F MOTR. SCMSAC-AR5_L2|Casa de Máquina AR 5 L1|CAG|MOTOR|FANCOIL|140|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||4ad6181d-c6c2-462c-9220-25ceab03c2d3|
350785b0-a93d-11f0-afe1-175479a33d89|3F MOTR. SCMSAC-AR8_L2|Casa de Máquina AR 8 L1|CAG|MOTOR|FANCOIL|143|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||98cae616-8192-4144-abcc-d39de5d3dd50|
341bed30-a93d-11f0-afe1-175479a33d89|3F MOTR. SCMSAC-AR7_L2|Casa de Máquina AR 7 L1|CAG|MOTOR|FANCOIL|142|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||08f576b4-5029-4225-9ef2-f70ce0082a9b|
69ec1540-b02a-11f0-9722-210aa9448abc|3F SCMSROOFTOP 07|ROOFTOP 7|CAG|FANCOIL|FANCOIL|166|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||93a92d69-c8d0-43e7-949f-cab133ccbeb0|
889e1060-bfed-11f0-84a2-1f4ed3957b2a|3F MOTR. SCMSROOFTOP 01|ROOFTOP 01|CAG|MOTOR|FANCOIL|158|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||f2ececbb-24cc-4d08-818f-93e4ba4b4381|
38dae200-b026-11f0-9722-210aa9448abc|3F SCMSROOFTOP 02|ROOFTOP 2|CAG|FANCOIL|FANCOIL|159|186bbdcb-95bc-4290-bf33-1ce89e48ffb4|||3991e346-c5b0-4e60-be10-698030406e47|
