tbId|deviceName|label|identifier|deviceType|deviceProfile|slaveId|centralId|gcdrCustomerId|gcdrAssetId|gcdrDeviceId|gcdrSyncAt
d2059510-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp16|Temperatura 16 (L3 Outback - Claraboia)|Temperatura|TERMOSTATO|TERMOSTATO|149|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|0a123ea6-f24c-4778-80ce-4b9f214eab7d|2026-03-09T20:48:17.711Z
ce62f2e0-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp12|Temperatura 12 (L3 PE)|Temperatura|TERMOSTATO|TERMOSTATO|145|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|6dc992a6-a2c9-418e-a213-d1a28694fe1b|2026-03-09T20:48:17.711Z
c9ca09d0-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp7|Temperatura 7 (L3 - Leitura)|Temperatura|TERMOSTATO|TERMOSTATO|140|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|23b79660-83b8-4726-b0fd-3190cf0cbd25|2026-03-09T20:48:17.711Z
d032d0e0-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp14|Temperatura 14 (L3 Cacau Show)|Temperatura|TERMOSTATO|TERMOSTATO|147|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|3c76bcfc-b3f7-465b-8878-b81ceb258669|2026-03-09T20:48:17.711Z
c8e0e250-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp6|Temperatura 6 (Passarela)|Temperatura|TERMOSTATO|TERMOSTATO|139|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|9eb75b77-c9b8-4ff6-9acb-952f43321e4c|2026-03-09T20:48:17.711Z
d11a98d0-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp15|Temperatura 15 (L1 - MC donalds)|Temperatura|TERMOSTATO|TERMOSTATO|148|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|eec21d97-5405-49b9-9f49-901a080ffceb|2026-03-09T20:48:17.711Z
cd7b03e0-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp11|Temperatura 11 (frente à Move On 208I)|Temperatura|TERMOSTATO|TERMOSTATO|144|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|14032039-b15b-46fa-a5f0-23d1adb7798c|2026-03-09T20:48:17.711Z
c5166cd0-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp2|Temperatura L2 (frente à Pernambucanas 203K)|Temperatura|TERMOSTATO|TERMOSTATO|135|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|8af11614-3875-426b-9742-38028022d3f9|2026-03-09T20:48:17.711Z
c7ea9b70-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp5|Temperatura 5 (frente ao artesanato da terra 213A)|Temperatura|TERMOSTATO|TERMOSTATO|138|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|a754bcc3-b7ea-4050-b8a7-122ac88d2d18|2026-03-09T20:48:17.711Z
c4281530-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp1|Temperatura 1 (frente ao Paraíso Bijoux 201D/E)|Temperatura|TERMOSTATO|TERMOSTATO|134|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|854c9036-bdb3-4a5d-9b2c-98382326a897|2026-03-09T20:48:17.711Z
cf44c760-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp13|Temperatura 13 (frente a Le Biscuit)|Temperatura|TERMOSTATO|TERMOSTATO|146|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|a40c6490-6004-4b07-8d5e-14727fff4f96|2026-03-09T20:48:17.711Z
c6049d60-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp3|Temperatura 3 (L1 Barbarela)|Temperatura|TERMOSTATO|TERMOSTATO|136|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|4eca6f8f-bc48-4679-b58c-e3ce7832a9cf|2026-03-09T20:48:17.711Z
cba384c0-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp9|Temperatura 9 (L1 - PA Griletto)|Temperatura|TERMOSTATO|TERMOSTATO|142|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|4f9221fd-b1ff-40e9-b6b8-36f4ab3a2033|2026-03-09T20:48:17.711Z
cc9314e0-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp10|Temperatura 10 (L1 - Correios)|Temperatura|TERMOSTATO|TERMOSTATO|143|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|0a4472ef-a5e4-4123-89ee-1f1337ca269c|2026-03-09T20:48:17.711Z
cab9e810-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp8|Temperatura 8 (EXTERNA G7)|Temperatura|TERMOSTATO|TERMOSTATO|141|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|823df041-ca86-4377-9151-a4e4e82622c3|2026-03-09T20:48:17.711Z
c6efe7c0-9c85-11f0-afe1-175479a33d89|TEMP. SCMAL2ACAC-Temp4|Temperatura 4 (L - Mandic)|Temperatura|TERMOSTATO|TERMOSTATO|137|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|7b1ba3f0-6d4b-4d54-8ff3-94ba972d6e9c|71deb9a1-b0f8-40aa-95ea-2a28d27484eb|2026-03-09T20:48:17.711Z
