tbId|deviceName|label|identifier|deviceType|deviceProfile|slaveId|centralId|gcdrCustomerId|gcdrAssetId|gcdrDeviceId|gcdrSyncAt
4e757650-9011-11f0-a06d-e9509531b1d5|HIDR. 106AB108AH|Allegria|106AB108AH|HIDROMETRO|HIDROMETRO|72|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|ca3c59ad-080a-4072-ba2d-c7253aef8e68|b2fa6a38-70fe-4774-8e1f-879e88d988d9|2026-03-09T20:48:17.711Z
143c3860-a089-11f0-afe1-175479a33d89|HIDR. SCMAL0L102A|Faculdade Mandic|02A|HIDROMETRO|HIDROMETRO|140|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|e9f53b17-7b5c-4c30-a63a-6f8e56f9ca21|11fa9356-1063-41ea-970a-b7eee85e21df|2026-03-09T20:48:17.711Z
da610300-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL3L4304DEFG|outback|304DEFG|HIDROMETRO|HIDROMETRO|42|fcb3ccd1-4b85-4cef-a1de-0b8a80bec81e|e04046d4-baa4-44e9-a378-4dfebe4140f1|527ee6a8-1a7a-4b6f-aac9-62a83592f308|1b643861-7614-4f91-bb08-f57bd052af59|2026-03-09T20:48:17.711Z
2f396620-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1107E|Divino Fogão|107E|HIDROMETRO|HIDROMETRO|47|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|1ff29558-479e-447b-8da4-cd7471cba68e|9b24ec8c-06a3-4d7a-b23d-636c9d6f4893|2026-03-09T20:48:17.711Z
6ae4d1f0-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1102CDE|Mc donalds|102CDE|HIDROMETRO|HIDROMETRO|122|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|2c27186a-2cdc-47de-9b4d-410d0af70079|d3561131-b9ff-4c8e-8d30-73762a0ee01b|2026-03-09T20:48:17.711Z
2201ea40-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1101|Cine Araújo|101|HIDROMETRO|HIDROMETRO|1|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|a4360038-a789-448a-960f-a993c78fddd0|a98cac94-168c-4bda-a329-eabbae2e909f|2026-03-09T20:48:17.711Z
3a60edc0-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1113A|Choe´s|113A|HIDROMETRO|HIDROMETRO|60|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|3d3e693f-4bc2-4105-9b3c-2d3b4b6f0fea|b6bd1f85-85a6-427b-9cc9-43ac5a1a48ea|2026-03-09T20:48:17.711Z
b923b8f0-9e25-11f0-afe1-175479a33d89|HIDR. 305BCDEFG|Vila do Trigo|305BCDEFG|HIDROMETRO|HIDROMETRO|121|fcb3ccd1-4b85-4cef-a1de-0b8a80bec81e|e04046d4-baa4-44e9-a378-4dfebe4140f1|b6c883cc-0b14-4258-b8b4-ca363e7da93f|436dcbef-ebd8-4eb4-9177-59ef55498e2d|2026-03-09T20:48:17.711Z
4760dee0-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1113B|Patroni Pizza|113B|HIDROMETRO|HIDROMETRO|68|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|2dc1acda-3db1-4dcc-97b2-662475913752|73796da1-9b29-4019-965e-de5c42675b7b|2026-03-09T20:48:17.711Z
73dcf670-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL2AC203|Riachuelo|203|HIDROMETRO|HIDROMETRO|1|d3202744-05dd-46d1-af33-495e9a2ecd52|e04046d4-baa4-44e9-a378-4dfebe4140f1|924497dc-c66a-4c1f-9d1d-de5bfad63d39|957825ad-0083-4ae3-8fc8-a36ed5b035bc|2026-03-09T20:48:17.711Z
52150b40-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1107D|Grilleto|107D|HIDROMETRO|HIDROMETRO|77|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|d4c43ea1-9e40-40db-964a-b20dd3cbb0f7|40b42b05-1094-4b56-ab34-4312e83c8f0d|2026-03-09T20:48:17.711Z
58ced880-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1107A|Pecada da Carne|107A|HIDROMETRO|HIDROMETRO|87|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|a059eb5e-9f7a-4494-935b-34b0241396ad|20530c9b-408c-4c2c-9936-b1721027e430|2026-03-09T20:48:17.711Z
46259fc0-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1102B|Imperador Burguer|102B|HIDROMETRO|HIDROMETRO|67|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|86de1658-b330-4db8-8d06-7b2ed975240c|c8dec94d-e1b2-499e-a5f8-873bd595838f|2026-03-09T20:48:17.711Z
d27349a0-9011-11f0-a06d-e9509531b1d5|HIDR. 301BCPOPQ|C&A Modas|301BCPOPQ|HIDROMETRO|HIDROMETRO|30|fcb3ccd1-4b85-4cef-a1de-0b8a80bec81e|e04046d4-baa4-44e9-a378-4dfebe4140f1|9492e261-b66b-4978-9aa8-8de3af0445d7|ffef57e1-8517-447c-8f07-135955b60918|2026-03-09T20:48:17.711Z
23e688c0-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1111|Bob´s|111|HIDROMETRO|HIDROMETRO|3|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|e37920ae-e47c-4b19-a188-ecff558ab31d|f5fea5ee-56cd-4ee8-97ff-efb6698680ef|2026-03-09T20:48:17.711Z
5ac21d00-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1114B|Pastiola|114B|HIDROMETRO|HIDROMETRO|90|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|20511337-3bd4-4172-9d1b-580cfbd150ea|f888ad36-46b4-4a23-98c2-94743b480220|2026-03-09T20:48:17.711Z
d31e7dc0-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL3L4306ANO|Renner|306ANO|HIDROMETRO|HIDROMETRO|31|fcb3ccd1-4b85-4cef-a1de-0b8a80bec81e|e04046d4-baa4-44e9-a378-4dfebe4140f1|5f63b594-3430-4188-931e-6d21234d8375|6526b1c9-5cce-4e70-bc47-66c624e8d74c|2026-03-09T20:48:17.711Z
65914b70-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1114C|Subway|114C|HIDROMETRO|HIDROMETRO|114|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|b1b6d4c6-fa3a-473b-aeb2-ef316e774c01|a2196e14-ef3c-4c39-8e88-ccec1e79a47c|2026-03-09T20:48:17.711Z
6395c990-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1105AB|Don Burguer|105AB|HIDROMETRO|HIDROMETRO|110|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|14b96c55-3746-4f2f-b387-84ba788810ae|5604a91a-1072-42a5-b155-1b7120d73feb|2026-03-09T20:48:17.711Z
3c19e860-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1115A|Cosechas|115A|HIDROMETRO|HIDROMETRO|61|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|ed4d8d1d-5db2-4d6c-8d3c-c895f933c773|0ab1a774-97ec-4766-989a-66f5a47104d1|2026-03-09T20:48:17.711Z
6b981c60-9011-11f0-a06d-e9509531b1d5|HIDR. SCMAL0L1114D|Farinella|114D|HIDROMETRO|HIDROMETRO|123|45250d44-bad0-4071-aaa0-8091cfb12691|e04046d4-baa4-44e9-a378-4dfebe4140f1|41084365-1151-45ec-a5f5-c79a9dbcc9d8|c85451d9-c36b-4d8a-abe4-761293dd3d80|2026-03-09T20:48:17.711Z
