tbId|deviceName|label|identifier|deviceType|deviceProfile|slaveId|centralId|gcdrCustomerId|gcdrAssetId|gcdrDeviceId|gcdrSyncAt
52ea1510-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA102BCL1|SUPERMERCADOS_BH|102BC_L1|3F_MEDIDOR|3F_MEDIDOR|2|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||8dfc9f80-342e-48e7-a949-6e92718b0085|
7c40d0c0-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA206PL2|C&A MODAS|206P_L2|3F_MEDIDOR|3F_MEDIDOR|33|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||da487d98-30e8-4235-a50e-83547247da20|
b1ffd170-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA307GHIL3|TERRA A VISTA|307GHI_L3|3F_MEDIDOR|3F_MEDIDOR|77|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||76d510dd-1e26-406f-b545-c08daa7366c5|
59af2cf0-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA111|PADARIA MONZA|111CDEFGH_L1|3F_MEDIDOR|3F_MEDIDOR|6|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||fbcf832a-6882-48c3-a1c5-b2fd07f0a8d7|
c9f31ad0-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA314ABCL3|MC DONALD|314ABC_L3|3F_MEDIDOR|3F_MEDIDOR|96|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||adb92c87-a30a-4d94-8b33-d7021fce479c|
66338570-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA202|CASAS BAHIA|202ABC203A_L2|3F_MEDIDOR|3F_MEDIDOR|14|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||7f4ace74-f028-4006-8fd8-9152537eab29|
57f5bd20-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA108B1L1|BODYTECH|108B1_L1|3F_MEDIDOR|3F_MEDIDOR|5|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||125fd611-f63e-4c90-b074-1b4055e63855|
c84b5e40-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA313EFL3|KFC|313EF_L3|3F_MEDIDOR|3F_MEDIDOR|95|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||3d8d34e2-2696-447b-8a02-452336505ba6|
e15c4ca0-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA314EL3|BURGUER KING|314E_L3|3F_MEDIDOR|3F_MEDIDOR|111|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||4f55547e-07b1-48c0-a73c-31501d4c5a38|
a6871c90-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA3023ABCL3|ALLEGRIA|302-3ABC_L3|3F_MEDIDOR|3F_MEDIDOR|67|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||36afb027-f0a8-425a-a9eb-da1738bd3983|
cd37e590-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA315A1A2L3|IMPERADOR BURGER|315A1A2_L3|3F_MEDIDOR|3F_MEDIDOR|98|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||2ead4c19-cd22-4e88-b35d-3135e491d6ea|
d3d50310-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA315DEL3|DIVINO FOGÃO|315DE_L3|3F_MEDIDOR|3F_MEDIDOR|102|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||95ab414f-8563-405c-ae96-17e6ed5f81c7|
d57dd110-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA315FL3|CHOE S ORIENTAL GOURMET|315F_L3|3F_MEDIDOR|3F_MEDIDOR|103|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||d5b8edfc-616a-4d76-9cfd-dab352c3bb71|
ee520490-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA209JKL2|CALEBITO|209JK_L2|3F_MEDIDOR|3F_MEDIDOR|121|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||c14d2acb-c393-4e50-817c-41bef2689b11|
a4e04a60-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA301EFL3|JOHNNY ROCKETS|301EF_L3|3F_MEDIDOR|3F_MEDIDOR|66|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||fa0e24f3-e50a-4cb0-8e8c-47d92a627407|
d8bca860-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA316EFL3|CORAÇÃO MINEIRO SAN|316EF_L3|3F_MEDIDOR|3F_MEDIDOR|105|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||a240410f-3a5f-43b1-bbc4-afa954233669|
cee2af60-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA316BCL3|DON BURGER|316BC_L3|3F_MEDIDOR|3F_MEDIDOR|99|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||a57a8a78-9155-40e8-bffa-9fe1616c9ae4|
c50470a0-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA313ABL3|BOB S|313AB_L3|3F_MEDIDOR|3F_MEDIDOR|93|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||1fcfbd82-2a25-430a-ae41-2f114b7d40ce|
d72120d0-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA316DL3|PIAZARELLA|316D_L3|3F_MEDIDOR|3F_MEDIDOR|104|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||f935f5ad-5297-41e7-a56c-e73c93651f38|
d082cad0-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA315A4L3|VIVENDA DO CAMARÃO|315A4_L3|3F_MEDIDOR|3F_MEDIDOR|100|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||bab06322-90bf-424c-a2b6-27e7f81fd4ac|
d22bbfe0-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA315CL3|GRILETTO|315C_L3|3F_MEDIDOR|3F_MEDIDOR|101|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||026943d3-1808-4828-8793-4b12180b8a9f|
dc128a20-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA316IL3|SPOLETO|316I_L3|3F_MEDIDOR|3F_MEDIDOR|107|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||ecf3e46e-3067-45ae-a031-2c0953bafc75|
ba850fe0-b4dd-11f0-be7f-e760d1498268|3F SCMOXUARA309|KTX|309FGHILMQ_L3|3F_MEDIDOR|3F_MEDIDOR|85|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||91816cc9-c56c-4928-bf49-7a7326f7207d|
