tbId|deviceName|label|identifier|deviceType|deviceProfile|slaveId|centralId|gcdrCustomerId|gcdrAssetId|gcdrDeviceId|gcdrSyncAt
da5e8ad0-c860-11f0-84a2-1f4ed3957b2a|Temp L1 Porta Vidro Fundo|Temp L1 Porta Vidro Fundo|TEMPERATURA|TERMOSTATO|TERMOSTATO|316|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
d67342b0-c867-11f0-84a2-1f4ed3957b2a|Temp L1 Externo|Temp L1 Externo|TEMPERATURA|TERMOSTATO|TERMOSTATO|324|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
f1952d00-c836-11f0-84a2-1f4ed3957b2a|Temp L3 Kalunga|Temp L3 Kalunga|TEMPERATURA|TERMOSTATO|TERMOSTATO|312|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
f12e7bf0-c836-11f0-84a2-1f4ed3957b2a|Temp Praca Alimentos Spoleto|Temp Praca Alimentos Spoleto|TEMPERATURA|TERMOSTATO|TERMOSTATO|314|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
a5aa6310-c863-11f0-84a2-1f4ed3957b2a|Temp.L1 BH|Temp.L1 BH|TEMPERATURA|TERMOSTATO|TERMOSTATO|313|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
c2ff8110-c832-11f0-84a2-1f4ed3957b2a|Temp L3 Centro|Temp L3 Centro|TEMPERATURA|TERMOSTATO|TERMOSTATO|317|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
f54fef40-c82f-11f0-84a2-1f4ed3957b2a|Temp L3 Sipolatti|Temp L3 Sipolatti|TEMPERATURA|TERMOSTATO|TERMOSTATO|323|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
52bbf570-c83f-11f0-84a2-1f4ed3957b2a|Temp. L2 Centro|Temp. L2 Centro|TEMPERATURA|TERMOSTATO|TERMOSTATO|318|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
5349b680-c83f-11f0-84a2-1f4ed3957b2a|Temp.L2 Sá Cavalcante|Temp.L2 Sá Cavalcante|TEMPERATURA|TERMOSTATO|TERMOSTATO|315|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
a1c842b0-c86a-11f0-84a2-1f4ed3957b2a|Temp L1 Fundos Mall|Temp L1 Fundos Mall|TEMPERATURA|TERMOSTATO|TERMOSTATO|319|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
b92fdff0-c840-11f0-84a2-1f4ed3957b2a|Temp L2 Casas Bahia|Temp L2 Casas Bahia|TEMPERATURA|TERMOSTATO|TERMOSTATO|320|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
88532a30-c83c-11f0-84a2-1f4ed3957b2a|Temp Avenida L2|Temp Avenida L2|TEMPERATURA|TERMOSTATO|TERMOSTATO|321|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
eab04fc0-c844-11f0-84a2-1f4ed3957b2a|Temp L4 Cinépolis|Temp L4 Cinépolis|TEMPERATURA|TERMOSTATO|TERMOSTATO|322|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
