tbId|deviceName|label|identifier|deviceType|deviceProfile|slaveId|centralId|gcdrCustomerId|gcdrAssetId|gcdrDeviceId|gcdrSyncAt
e203fe50-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA314EL3|BURGUER KING|314E_L3|HIDROMETRO|HIDROMETRO|289|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
de6f65e0-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA401AL4|CINEPOLIS|401A_L4|HIDROMETRO|HIDROMETRO|288|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
539dada0-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA102BCL1|SUPERMERCADOS BH|102BC_L1|HIDROMETRO|HIDROMETRO|230|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||8fcc9651-22d6-46bd-ba42-03e83c315bea|
d4812190-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA315DEL3|DIVINO FOGÃO|315DE_L3|HIDROMETRO|HIDROMETRO|282|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
cf91b410-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA316BCL3|DON BURGER|316BC_L3|HIDROMETRO|HIDROMETRO|279|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
dcc05650-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA316IL3|SPOLETO|316I_L3|HIDROMETRO|HIDROMETRO|287|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
c8f7a3d0-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA313EFL3|KFC|313EF_L3|HIDROMETRO|HIDROMETRO|275|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
b2a9f420-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA307GHIL3|TERRA A VISTA|307GHI_L3|HIDROMETRO|HIDROMETRO|265|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
ca9af390-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA314ABCL3|MC DONALDS|314ABC_L3|HIDROMETRO|HIDROMETRO|276|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
58af9740-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA108B1L1|BODYTECH|108B1_L1|HIDROMETRO|HIDROMETRO|233|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||041f827a-9a0b-4e5c-8b1c-b18938e22b6f|
d96b10d0-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA316EFL3|CORAÇÃO MINEIRO SAN|316EF_L3|HIDROMETRO|HIDROMETRO|285|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
a735ac10-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA3023ABCL3|ALLEGRIA|302-3ABC_L3|HIDROMETRO|HIDROMETRO|261|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
d6281ad0-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA315FL3|CHOES ORIENTAL GOURMET|315F_L3|HIDROMETRO|HIDROMETRO|283|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
5a5ecde0-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA111|PADARIA MONZA|111CDEFGH_L1|HIDROMETRO|HIDROMETRO|234|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||8db30fe0-c02a-43cd-9c1c-7cb1938b2c86|
eefe7130-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA209JKL2|CALEBITO|209JK_L2|HIDROMETRO|HIDROMETRO|295|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
a59394d0-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA301EFL3|JOHNNY ROCKETS|301EF_L3|HIDROMETRO|HIDROMETRO|260|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
cde1ba20-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA315A1A2L3|IMPERADOR BURGER|315A1A2_L3|HIDROMETRO|HIDROMETRO|278|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
cc41ecd0-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA314DL3|PASTIOLLA PIZZARIA E TRATTORIA|314D_L3|HIDROMETRO|HIDROMETRO|277|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
6393d450-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA119AL1|LAVANDERIA BUBBLEBOX|119A_L1|HIDROMETRO|HIDROMETRO|239|e982edf9-edb1-4aa6-8a14-4782465ae5a3|||5fdd8a1c-b867-45f6-a8b2-29f1b1100372|
d130be10-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA315A4L3|VIVENDA DO CAMARÃO|315A4_L3|HIDROMETRO|HIDROMETRO|280|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
0ac271a0-b4de-11f0-be7f-e760d1498268|HIDR. SCMOXUARAQ104BL1|TRARBACH ESTETICA AUTOMOTIVA|Q104B_L1|HIDROMETRO|HIDROMETRO|300|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
62dc75c0-b4de-11f0-be7f-e760d1498268|HIDR. SCMOXUARA307JKLMQL3|RENNER|307JKLMQ_L3|HIDROMETRO|HIDROMETRO|266|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
f9cbcae0-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARAQ105L1|CENTRO DE TREINAMENTO ALISSON FUT|Q105_L1|HIDROMETRO|HIDROMETRO|298|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
d2da4f60-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA315CL3|GRILETTO|315C_L3|HIDROMETRO|HIDROMETRO|281|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
d7cc06d0-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA316DL3|PIAZARELLA|316D_L3|HIDROMETRO|HIDROMETRO|284|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
c5b23cd0-b4dd-11f0-be7f-e760d1498268|HIDR. SCMOXUARA313ABL3|BOB'S|313AB_L3|HIDROMETRO|HIDROMETRO|273|e982edf9-edb1-4aa6-8a14-4782465ae5a3||||
